ros_time_sec,ros_time_nsec,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,gripper_pos_f1,gripper_pos_f2,O_dP_EE_d_vx,O_dP_EE_d_vy,O_dP_EE_d_vz,O_dP_EE_d_wx,O_dP_EE_d_wy,O_dP_EE_d_wz,O_dP_EE_c_vx,O_dP_EE_c_vy,O_dP_EE_c_vz,O_dP_EE_c_wx,O_dP_EE_c_wy,O_dP_EE_c_wz
1764457883.000000000,628190040.000000000,0.400590038,0.354371328,0.214925576,0.993502703,-0.027687145,0.099545422,0.047662286,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457883.000000000,629834413.000000000,0.400591257,0.354369073,0.214924077,0.993502587,-0.027690757,0.099545475,0.047662487,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457883.000000000,630942106.000000000,0.400591707,0.354370642,0.214924633,0.993502696,-0.027685996,0.099546248,0.047661371,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457883.000000000,632680177.000000000,0.400590291,0.354372414,0.214925489,0.993502691,-0.027687913,0.099546166,0.047660521,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457883.000000000,633729219.000000000,0.400589905,0.354373395,0.214926781,0.993502508,-0.027687987,0.099547687,0.047661131,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457883.000000000,636007785.000000000,0.400589353,0.354372792,0.214926585,0.993502500,-0.027685799,0.099547729,0.047662469,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457883.000000000,637120723.000000000,0.400593003,0.354372123,0.214927595,0.993502570,-0.027687922,0.099547751,0.047659742,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457883.000000000,639039754.000000000,0.400592464,0.354372738,0.214927608,0.993502537,-0.027688137,0.099548084,0.047659605,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457883.000000000,640470504.000000000,0.400591963,0.354374844,0.214928951,0.993502625,-0.027684308,0.099548773,0.047658563,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457883.000000000,640965700.000000000,0.400591271,0.354372353,0.214926777,0.993502564,-0.027688720,0.099547108,0.047660739,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
