x,y,z,vx,vy,vz,Kx,Ky,Kz
5.658837890000000259e-01,3.004570300000000138e-01,1.472790680000000130e-01,-1.410000000000000012e-03,2.941800000000000057e-03,-2.232000000000000043e-04,3.000000000000000000e+02,3.000000000000000000e+02,3.000000000000000000e+02
5.658814389999999861e-01,3.004619330000000144e-01,1.472786959999999867e-01,-5.996999999999999944e-04,7.931999999999999815e-04,-2.036999999999999911e-04,3.498938522184415092e+02,3.234615788186722511e+02,3.618957955413279706e+02
5.658817900000000511e-01,3.004596740000000099e-01,1.472783890000000095e-01,2.651999999999999952e-04,-6.534000000000000528e-04,2.991000000000000061e-04,3.498938522184416797e+02,3.234615788186723648e+02,3.618957955413280274e+02
5.658823229999999649e-01,3.004597549999999950e-01,1.472796929999999893e-01,-6.239999999999999887e-05,3.320999999999999950e-04,2.732999999999999752e-04,3.498938522184417934e+02,3.234615788186722511e+02,3.618957955413280843e+02
5.658815820000000496e-01,3.004607810000000101e-01,1.472793000000000019e-01,-2.786999999999999981e-04,3.030000000000000128e-05,-6.675000000000000161e-04,3.498938522184417934e+02,3.234615788186721375e+02,3.618957955413281979e+02
5.658813940000000375e-01,3.004598560000000251e-01,1.472774679999999947e-01,1.953000000000000038e-04,2.963999999999999946e-04,6.920999999999999635e-04,3.498938522184417934e+02,3.234615788186721375e+02,3.618957955413280843e+02
5.658822329999999567e-01,3.004617689999999897e-01,1.472816070000000088e-01,-2.178000000000000086e-04,2.403000000000000134e-04,7.380000000000000492e-05,3.498938522184417934e+02,3.234615788186721943e+02,3.618957955413280274e+02
5.658806680000000311e-01,3.004606570000000199e-01,1.472777140000000040e-01,3.459000000000000052e-04,-8.825999999999999861e-04,-7.322999999999999649e-04,3.498938522184416797e+02,3.234615788186721943e+02,3.618957955413280274e+02
5.658833859999999882e-01,3.004588269999999839e-01,1.472791659999999891e-01,4.884000000000000537e-04,7.830000000000000588e-05,7.676999999999999580e-04,3.498938522184416797e+02,3.234615788186721375e+02,3.618957955413281411e+02
5.658822959999999513e-01,3.004609180000000213e-01,1.472802729999999893e-01,-2.957999999999999800e-04,5.999999999999999474e-04,2.433000000000000050e-04,3.498938522184417366e+02,3.234615788186721943e+02,3.618957955413281979e+02
5.658824000000000076e-01,3.004608269999999859e-01,1.472799770000000064e-01,-6.153000000000000483e-04,5.913000000000000070e-04,-6.905999999999999812e-04,3.498938522184417934e+02,3.234615788186723648e+02,3.618957955413280843e+02
5.658802450000000039e-01,3.004628890000000108e-01,1.472779710000000075e-01,-1.112999999999999949e-04,7.401000000000000460e-04,8.610000000000000574e-05,3.498938522184417366e+02,3.234615788186723648e+02,3.618957955413279706e+02
5.658820289999999531e-01,3.004632939999999919e-01,1.472802639999999941e-01,8.643000000000000292e-04,-1.268100000000000087e-03,4.626000000000000229e-04,3.498938522184417366e+02,3.234615788186723648e+02,3.618957955413280274e+02
5.658831260000000141e-01,3.004586619999999875e-01,1.472795130000000008e-01,-7.094999999999999528e-04,-1.904999999999999955e-04,-5.793000000000000406e-04,3.498938522184416797e+02,3.234615788186723648e+02,3.618957955413280274e+02
5.658796640000000044e-01,3.004626590000000208e-01,1.472783330000000113e-01,-9.510000000000000224e-04,5.877000000000000279e-04,-7.674000000000000049e-04,3.498938522184416797e+02,3.234615788186723648e+02,3.618957955413280843e+02
5.658799559999999618e-01,3.004606209999999833e-01,1.472769549999999872e-01,1.772399999999999930e-03,-1.675199999999999953e-03,9.315000000000000363e-04,3.498938522184416797e+02,3.234615788186722511e+02,3.618957955413280274e+02
5.658855720000000034e-01,3.004570750000000179e-01,1.472814379999999868e-01,1.082099999999999902e-03,-2.471999999999999914e-04,1.469999999999999953e-03,3.498938522184414524e+02,3.234615788186719101e+02,3.618957955413278000e+02
5.658835629999999783e-01,3.004597969999999729e-01,1.472818549999999893e-01,-9.554999999999999691e-04,1.381499999999999916e-03,9.419999999999999934e-05,3.498938522184415092e+02,3.234615788186719101e+02,3.618957955413278569e+02
5.658823870000000422e-01,3.004616800000000088e-01,1.472817519999999880e-01,-2.897999999999999968e-04,3.795000000000000088e-04,-1.511999999999999889e-04,3.498938522184417934e+02,3.234615788186721375e+02,3.618957955413280843e+02
5.658825969999999872e-01,3.004610620000000010e-01,1.472813510000000048e-01,-2.655000000000000025e-04,-6.174000000000000451e-04,-8.316000000000000475e-04,3.498938522184417934e+02,3.234615788186721375e+02,3.618957955413280274e+02
5.658815019999999807e-01,3.004596219999999818e-01,1.472789800000000038e-01,-5.640000000000000482e-04,2.369999999999999874e-04,-5.567999999999999816e-04,3.498938522184417366e+02,3.234615788186721943e+02,3.618957955413279706e+02
5.658807169999999775e-01,3.004618519999999737e-01,1.472794950000000103e-01,7.121999999999999642e-04,8.279999999999999329e-05,1.075800000000000020e-03,3.498938522184416797e+02,3.234615788186721375e+02,3.618957955413279706e+02
5.658838760000000079e-01,3.004598980000000030e-01,1.472825660000000036e-01,3.026999999999999851e-04,-1.010999999999999963e-03,-3.126000000000000089e-04,3.498938522184415092e+02,3.234615788186720806e+02,3.618957955413279706e+02
5.658817259999999738e-01,3.004584820000000267e-01,1.472784530000000036e-01,-4.910999999999999567e-04,6.164999999999999690e-04,-3.536999999999999780e-04,3.498938522184415660e+02,3.234615788186721375e+02,3.618957955413280843e+02
5.658822390000000091e-01,3.004619530000000038e-01,1.472813870000000136e-01,-1.374000000000000059e-04,3.566999999999999967e-04,2.220000000000000090e-05,3.498938522184416229e+02,3.234615788186720806e+02,3.618957955413280274e+02
5.658812680000000483e-01,3.004596709999999837e-01,1.472785269999999924e-01,-2.831999999999999990e-04,-1.087800000000000095e-03,-1.179300000000000096e-03,3.498938522184416797e+02,3.234615788186721375e+02,3.618957955413280843e+02
5.658812949999999509e-01,3.004583270000000250e-01,1.472774560000000010e-01,2.870999999999999854e-04,-3.630000000000000143e-05,1.010400000000000057e-03,3.498938522184417934e+02,3.234615788186722511e+02,3.618957955413281411e+02
5.658822249999999610e-01,3.004595500000000197e-01,1.472818949999999960e-01,7.041000000000000383e-04,-1.334999999999999924e-04,5.027999999999999700e-04,3.498938522184417366e+02,3.234615788186721375e+02,3.618957955413280843e+02
5.658836419999999645e-01,3.004578820000000094e-01,1.472791320000000070e-01,1.476000000000000098e-04,-1.332000000000000122e-04,-8.166000000000000082e-04,3.498938522184415660e+02,3.234615788186720806e+02,3.618957955413280274e+02
5.658827170000000351e-01,3.004591059999999758e-01,1.472791730000000132e-01,-1.026900000000000078e-03,3.930000000000000117e-04,-6.849000000000000053e-04,3.498938522184415660e+02,3.234615788186721375e+02,3.618957955413281979e+02
5.658802189999999621e-01,3.004591919999999861e-01,1.472768489999999875e-01,1.110000000000000011e-04,-3.758999999999999755e-04,3.419999999999999782e-05,3.498938522184417934e+02,3.234615788186724217e+02,3.618957955413282548e+02
5.658830870000000068e-01,3.004578529999999970e-01,1.472792870000000087e-01,7.014000000000000269e-04,4.652999999999999801e-04,8.189999999999999581e-04,3.498938522184415660e+02,3.234615788186722511e+02,3.618957955413279706e+02
5.658825570000000083e-01,3.004607429999999746e-01,1.472795789999999938e-01,-9.689999999999999720e-05,8.568000000000000095e-04,6.936000000000000542e-04,3.498938522184415092e+02,3.234615788186720238e+02,3.618957955413278569e+02
5.658827640000000381e-01,3.004607089999999925e-01,1.472815990000000130e-01,-2.031000000000000036e-04,1.769999999999999994e-05,-1.781999999999999947e-04,3.498938522184415660e+02,3.234615788186721375e+02,3.618957955413278569e+02
