x,y,z,vx,vy,vz,Kx,Ky,Kz
5.517678280000000157e-01,3.228268240000000122e-01,1.625202659999999966e-01,9.204000000000000375e-04,9.336000000000000331e-04,1.293000000000000095e-03,3.000000000000000000e+02,3.000000000000000000e+02,3.000000000000000000e+02
5.517693620000000410e-01,3.228283800000000259e-01,1.625224210000000002e-01,5.312999999999999581e-04,-6.645000000000000516e-04,3.629999999999999872e-04,3.498931653984126342e+02,3.234608762138367979e+02,3.618951158885730592e+02
5.517695989999999995e-01,3.228246089999999846e-01,1.625214759999999981e-01,-6.543000000000000205e-04,-7.041000000000000383e-04,-6.390000000000000280e-04,3.498931653984126342e+02,3.234608762138367979e+02,3.618951158885730592e+02
5.517671809999999954e-01,3.228260330000000122e-01,1.625202910000000112e-01,-2.388000000000000040e-04,7.161000000000000048e-04,-1.674000000000000032e-04,3.498931653984126342e+02,3.234608762138367979e+02,3.618951158885730592e+02
5.517688029999999744e-01,3.228269959999999772e-01,1.625209179999999864e-01,2.253000000000000011e-04,8.421000000000000317e-04,2.294999999999999948e-04,3.498931653984126342e+02,3.234608762138367979e+02,3.618951158885730592e+02
5.517679319999999610e-01,3.228288400000000058e-01,1.625210559999999971e-01,-3.972000000000000053e-04,5.534999999999999556e-04,-4.824000000000000163e-04,3.498931653984126342e+02,3.234608762138367979e+02,3.618951158885730592e+02
5.517674790000000051e-01,3.228288409999999775e-01,1.625193100000000002e-01,-8.940000000000000464e-05,-6.212999999999999773e-04,-3.816000000000000056e-04,3.498931653984126342e+02,3.234608762138367979e+02,3.618951158885730592e+02
5.517676339999999513e-01,3.228267690000000134e-01,1.625197840000000005e-01,-4.274999999999999829e-04,7.320000000000000389e-05,2.105999999999999962e-04,3.498931653984126342e+02,3.234608762138367979e+02,3.618951158885730592e+02
5.517660540000000058e-01,3.228290850000000156e-01,1.625200119999999915e-01,5.331000000000000018e-04,-2.994000000000000133e-04,4.895999999999999745e-04,3.498931653984126342e+02,3.234608762138367979e+02,3.618951158885730592e+02
5.517694109999999874e-01,3.228257709999999836e-01,1.625214160000000019e-01,1.160699999999999970e-03,-1.949999999999999965e-04,1.073399999999999962e-03,3.498931653984126342e+02,3.234608762138367979e+02,3.618951158885730592e+02
5.517699230000000510e-01,3.228284350000000247e-01,1.625235899999999956e-01,1.764000000000000051e-04,7.050000000000000602e-05,5.276999999999999790e-04,3.498931653984126342e+02,3.234608762138367979e+02,3.618951158885730592e+02
5.517699990000000110e-01,3.228260059999999987e-01,1.625231749999999920e-01,-1.299000000000000133e-04,-4.359000000000000244e-04,-1.101000000000000063e-04,3.498931653984126342e+02,3.234608762138367979e+02,3.618951158885730592e+02
5.517694899999999736e-01,3.228269819999999846e-01,1.625232229999999944e-01,-2.888999999999999750e-04,5.955000000000000007e-04,-1.175999999999999989e-04,3.498931653984126342e+02,3.234608762138367979e+02,3.618951158885730592e+02
5.517690360000000460e-01,3.228279909999999808e-01,1.625227830000000040e-01,-1.490999999999999921e-04,-2.457000000000000091e-04,-9.740999999999999876e-04,3.498931653984126342e+02,3.234608762138367979e+02,3.618951158885730592e+02
5.517689930000000409e-01,3.228261629999999993e-01,1.625199760000000104e-01,-1.802999999999999915e-04,1.175999999999999989e-04,-4.493999999999999731e-04,3.498931653984126342e+02,3.234608762138367979e+02,3.618951158885730592e+02
