x,y,z,vx,vy,vz,Kx,Ky,Kz
5.652094260000000148e-01,3.009801790000000143e-01,1.688962519999999967e-01,3.108000000000000194e-04,-3.479999999999999885e-05,2.489999999999999809e-04,3.000000000000000000e+02,3.000000000000000000e+02,3.000000000000000000e+02
5.652099440000000197e-01,3.009801209999999894e-01,1.688966670000000003e-01,1.745999999999999885e-04,1.989000000000000100e-04,-1.776000000000000072e-04,3.498937757938900290e+02,3.234615006365169734e+02,3.618957199192752796e+02
5.652100079999999860e-01,3.009808420000000262e-01,1.688956600000000030e-01,4.073999999999999822e-04,5.540999999999999702e-04,5.406000000000000215e-04,3.498937757938909954e+02,3.234615006365181671e+02,3.618957199192752796e+02
5.652113020000000265e-01,3.009819679999999886e-01,1.688984689999999955e-01,5.222999999999999561e-04,3.545999999999999998e-04,8.922000000000000026e-04,3.498937757938914501e+02,3.234615006365187924e+02,3.618957199192753933e+02
5.652117490000000410e-01,3.009820240000000147e-01,1.688986339999999919e-01,2.709000000000000253e-04,-1.048499999999999953e-03,-4.560000000000000251e-04,3.498937757938892901e+02,3.234615006365161207e+02,3.618957199192753365e+02
5.652122050000000231e-01,3.009784730000000241e-01,1.688969489999999907e-01,-7.860000000000000233e-04,-1.736999999999999937e-04,-5.291999999999999612e-04,3.498937757938828099e+02,3.234615006365079353e+02,3.618957199192749385e+02
5.652091289999999768e-01,3.009814450000000141e-01,1.688968700000000045e-01,-7.200000000000000453e-04,3.570000000000000040e-04,-2.429999999999999977e-04,3.498937757938862205e+02,3.234615006365121985e+02,3.618957199192751659e+02
5.652098049999999541e-01,3.009796630000000084e-01,1.688961390000000007e-01,2.505000000000000174e-04,3.899999999999999929e-06,-1.350000000000000017e-04,3.498937757938920186e+02,3.234615006365193608e+02,3.618957199192755070e+02
5.652099640000000091e-01,3.009814579999999795e-01,1.688964199999999916e-01,-2.526000000000000142e-04,8.643000000000000292e-04,2.970000000000000024e-05,3.498937757938913364e+02,3.234615006365186218e+02,3.618957199192753933e+02
5.652089630000000087e-01,3.009825440000000185e-01,1.688962380000000041e-01,7.661999999999999757e-04,-5.676000000000000273e-04,6.375000000000000458e-04,3.498937757938977029e+02,3.234615006365265799e+02,3.618957199192756775e+02
5.652125180000000526e-01,3.009795659999999762e-01,1.688985450000000110e-01,3.774000000000000119e-04,-4.920000000000000328e-05,2.642999999999999733e-04,3.498937757938894606e+02,3.234615006365162913e+02,3.618957199192752228e+02
5.652102209999999571e-01,3.009823799999999938e-01,1.688971190000000122e-01,-7.734000000000000423e-04,1.565999999999999901e-03,-1.184999999999999937e-04,3.498937757938870732e+02,3.234615006365131649e+02,3.618957199192752228e+02
5.652099400000000218e-01,3.009847860000000042e-01,1.688981499999999969e-01,5.640000000000000211e-05,-2.334000000000000083e-04,-5.042999999999999523e-04,3.498937757939002040e+02,3.234615006365294221e+02,3.618957199192759617e+02
5.652104089999999692e-01,3.009816020000000147e-01,1.688954380000000088e-01,2.379000000000000092e-04,-1.012499999999999945e-03,-1.956000000000000111e-04,3.498937757938997493e+02,3.234615006365288536e+02,3.618957199192758480e+02
5.652107330000000207e-01,3.009814109999999765e-01,1.688974980000000070e-01,-5.345999999999999841e-04,9.479999999999999495e-04,2.471999999999999914e-04,3.498937757938928144e+02,3.234615006365204977e+02,3.618957199192753933e+02
5.652086269999999635e-01,3.009847620000000168e-01,1.688962619999999915e-01,-2.825999999999999845e-04,9.749999999999999823e-05,-1.760999999999999979e-04,3.498937757939004314e+02,3.234615006365298768e+02,3.618957199192759617e+02
5.652097910000000169e-01,3.009817359999999997e-01,1.688969110000000107e-01,6.231000000000000210e-04,-1.567199999999999930e-03,-8.639999999999999948e-05,3.498937757939027051e+02,3.234615006365326622e+02,3.618957199192760754e+02
5.652107039999999527e-01,3.009795379999999909e-01,1.688959740000000043e-01,3.180000000000000047e-05,4.311000000000000162e-04,2.634000000000000057e-04,3.498937757938905406e+02,3.234615006365175418e+02,3.618957199192753365e+02
5.652098970000000167e-01,3.009831729999999927e-01,1.688977889999999926e-01,-1.919999999999999913e-05,1.026900000000000078e-03,5.381999999999999632e-04,3.498937757938924165e+02,3.234615006365199861e+02,3.618957199192755070e+02
5.652106399999999864e-01,3.009829609999999933e-01,1.688977680000000037e-01,4.829999999999999767e-04,-3.645000000000000236e-04,9.060000000000000670e-05,3.498937757938975892e+02,3.234615006365264094e+02,3.618957199192758480e+02
5.652115070000000019e-01,3.009819579999999939e-01,1.688980910000000002e-01,-3.129000000000000162e-04,-7.121999999999999642e-04,-6.468000000000000008e-04,3.498937757938931554e+02,3.234615006365207819e+02,3.618957199192756207e+02
5.652095969999999525e-01,3.009805870000000216e-01,1.688956120000000005e-01,-1.551000000000000024e-04,-9.840000000000000656e-05,-9.359999999999999831e-05,3.498937757938916775e+02,3.234615006365189060e+02,3.618957199192755070e+02
5.652109899999999687e-01,3.009816300000000000e-01,1.688977789999999979e-01,4.713000000000000175e-04,1.698000000000000074e-04,6.405000000000000103e-04,3.498937757938918480e+02,3.234615006365192471e+02,3.618957199192755638e+02
5.652111680000000415e-01,3.009811530000000013e-01,1.688977469999999870e-01,-1.346999999999999944e-04,3.320999999999999950e-04,-3.240000000000000150e-05,3.498937757938892901e+02,3.234615006365161776e+02,3.618957199192753365e+02
5.652105410000000107e-01,3.009827370000000002e-01,1.688976709999999992e-01,-1.308000000000000081e-04,-1.179000000000000062e-04,-5.762999999999999677e-04,3.498937757938920754e+02,3.234615006365195882e+02,3.618957199192755070e+02
5.652107320000000490e-01,3.009807600000000138e-01,1.688958259999999989e-01,-7.499999999999999343e-05,-3.912000000000000221e-04,-4.937999999999999681e-04,3.498937757938932691e+02,3.234615006365210661e+02,3.618957199192755070e+02
5.652102909999999758e-01,3.009814330000000204e-01,1.688960250000000052e-01,-5.429999999999999850e-05,-1.239000000000000030e-04,-8.909999999999999734e-05,3.498937757938922459e+02,3.234615006365198724e+02,3.618957199192752796e+02
5.652105509999999500e-01,3.009803469999999814e-01,1.688955289999999887e-01,-6.750000000000000357e-04,2.700000000000000035e-04,-1.649999999999999991e-04,3.498937757938920186e+02,3.234615006365195313e+02,3.618957199192754501e+02
5.652080409999999944e-01,3.009823329999999908e-01,1.688954749999999894e-01,-4.523999999999999918e-04,9.359999999999999831e-05,-1.965000000000000058e-04,3.498937757938970208e+02,3.234615006365256704e+02,3.618957199192758480e+02
5.652090429999999666e-01,3.009806589999999837e-01,1.688948740000000004e-01,3.317999999999999877e-04,1.547999999999999951e-04,4.901999999999999890e-04,3.498937757938998629e+02,3.234615006365293084e+02,3.618957199192759617e+02
5.652091470000000228e-01,3.009828489999999968e-01,1.688971089999999897e-01,1.953000000000000038e-04,1.016100000000000033e-03,7.946999999999999637e-04,3.498937757938982145e+02,3.234615006365272052e+02,3.618957199192758480e+02
5.652096939999999847e-01,3.009840460000000051e-01,1.688975229999999939e-01,1.009200000000000028e-03,-9.759000000000000313e-04,4.916999999999999713e-04,3.498937757939017956e+02,3.234615006365313548e+02,3.618957199192759617e+02
5.652125110000000285e-01,3.009795960000000159e-01,1.688987479999999874e-01,2.090999999999999868e-04,-7.496999999999999541e-04,-2.003999999999999922e-04,3.498937757938903133e+02,3.234615006365171439e+02,3.618957199192753933e+02
5.652103910000000342e-01,3.009815470000000159e-01,1.688968550000000124e-01,-8.088000000000000354e-04,8.105999999999999707e-04,-4.364999999999999848e-04,3.498937757938853110e+02,3.234615006365110048e+02,3.618957199192751091e+02
5.652098150000000043e-01,3.009822979999999815e-01,1.688972930000000039e-01,8.519999999999999742e-05,-1.087499999999999925e-03,-7.692000000000000486e-04,3.498937757938947470e+02,3.234615006365228282e+02,3.618957199192756775e+02
5.652106749999999957e-01,3.009779220000000088e-01,1.688942910000000019e-01,-1.799999999999999919e-06,-1.769999999999999994e-05,-4.655999999999999874e-04,3.498937757938896311e+02,3.234615006365164618e+02,3.618957199192754501e+02
5.652098089999999520e-01,3.009822389999999848e-01,1.688957409999999881e-01,9.629999999999999617e-05,1.225799999999999980e-03,1.208400000000000099e-03,3.498937757938907680e+02,3.234615006365178260e+02,3.618957199192754501e+02
5.652109960000000211e-01,3.009820080000000231e-01,1.688983189999999912e-01,2.351999999999999978e-04,-1.620000000000000075e-04,5.720999999999999740e-04,3.498937757938948607e+02,3.234615006365229419e+02,3.618957199192756775e+02
5.652105929999999834e-01,3.009816989999999914e-01,1.688976480000000113e-01,-1.127699999999999926e-03,4.242000000000000111e-04,-8.429999999999999993e-04,3.498937757938914501e+02,3.234615006365187355e+02,3.618957199192755070e+02
5.652072369999999735e-01,3.009834220000000005e-01,1.688955089999999992e-01,-3.053999999999999966e-04,9.974999999999999058e-04,-1.235999999999999957e-04,3.498937757939007724e+02,3.234615006365303316e+02,3.618957199192759049e+02
5.652095750000000196e-01,3.009850239999999899e-01,1.688972360000000061e-01,3.660000000000000059e-04,1.169999999999999979e-04,-2.465999999999999768e-04,3.498937757939086168e+02,3.234615006365399950e+02,3.618957199192764165e+02
5.652084569999999974e-01,3.009838120000000172e-01,1.688946869999999878e-01,5.268000000000000113e-04,-1.361999999999999929e-03,7.349999999999999763e-05,3.498937757939086168e+02,3.234615006365398813e+02,3.618957199192764165e+02
5.652113309999999835e-01,3.009804839999999926e-01,1.688974809999999882e-01,6.855000000000000199e-04,-7.322999999999999649e-04,9.005999999999999900e-04,3.498937757938977029e+02,3.234615006365262388e+02,3.618957199192756775e+02
5.652107419999999882e-01,3.009813709999999976e-01,1.688976889999999897e-01,-6.354000000000000490e-04,4.910999999999999567e-04,-6.386999999999999665e-04,3.498937757938879258e+02,3.234615006365141880e+02,3.618957199192751659e+02
5.652092130000000436e-01,3.009821209999999914e-01,1.688953519999999986e-01,-2.291999999999999875e-04,-2.022000000000000088e-04,-4.989000000000000379e-04,3.498937757938953155e+02,3.234615006365233967e+02,3.618957199192757344e+02
5.652099779999999463e-01,3.009806970000000192e-01,1.688960260000000047e-01,-2.513999999999999850e-04,1.617000000000000002e-04,-1.871999999999999966e-04,3.498937757938962818e+02,3.234615006365246472e+02,3.618957199192758480e+02
5.652083749999999851e-01,3.009826600000000130e-01,1.688947279999999940e-01,2.825999999999999845e-04,8.040000000000000271e-04,6.545999999999999736e-04,3.498937757938987261e+02,3.234615006365278305e+02,3.618957199192759617e+02
5.652109199999999500e-01,3.009833769999999964e-01,1.688982079999999941e-01,3.425999999999999792e-04,7.184999999999999547e-04,1.116599999999999928e-03,3.498937757939008861e+02,3.234615006365305589e+02,3.618957199192759617e+02
5.652095169999999946e-01,3.009850550000000013e-01,1.688984500000000055e-01,4.845000000000000131e-04,-8.978999999999999785e-04,1.439999999999999935e-05,3.498937757939011135e+02,3.234615006365307863e+02,3.618957199192759617e+02
5.652125350000000159e-01,3.009803839999999897e-01,1.688982559999999966e-01,5.460000000000000443e-04,-6.174000000000000451e-04,3.753000000000000151e-04,3.498937757938936102e+02,3.234615006365211798e+02,3.618957199192754501e+02
5.652113370000000359e-01,3.009829969999999744e-01,1.688997010000000132e-01,-2.658000000000000098e-04,5.025000000000000170e-04,1.322999999999999903e-04,3.498937757938865616e+02,3.234615006365125396e+02,3.618957199192751659e+02
5.652116489999999827e-01,3.009820590000000240e-01,1.688986969999999865e-01,-6.380999999999999520e-04,-1.077899999999999909e-03,-1.737899999999999905e-03,3.498937757938904269e+02,3.234615006365172576e+02,3.618957199192755070e+02
5.652092100000000174e-01,3.009794040000000059e-01,1.688939080000000093e-01,-4.790999999999999903e-04,2.901000000000000041e-04,-3.063000000000000184e-04,3.498937757938907112e+02,3.234615006365175987e+02,3.618957199192754501e+02
5.652100519999999628e-01,3.009830259999999869e-01,1.688976759999999966e-01,1.677000000000000105e-04,3.909000000000000148e-04,2.721000000000000003e-04,3.498937757938952018e+02,3.234615006365233398e+02,3.618957199192757344e+02
5.652097689999999730e-01,3.009807070000000140e-01,1.688948150000000037e-01,-2.331000000000000010e-04,4.679999999999999915e-05,8.129999999999999749e-05,3.498937757938963387e+02,3.234615006365247609e+02,3.618957199192758480e+02
