ros_time_sec,ros_time_nsec,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,gripper_pos_f1,gripper_pos_f2,O_dP_EE_d_vx,O_dP_EE_d_vy,O_dP_EE_d_vz,O_dP_EE_d_wx,O_dP_EE_d_wy,O_dP_EE_d_wz,O_dP_EE_c_vx,O_dP_EE_c_vy,O_dP_EE_c_vz,O_dP_EE_c_wx,O_dP_EE_c_wy,O_dP_EE_c_wz
1764457725.000000000,288939714.000000000,0.470973106,0.307490852,0.206635584,0.992461141,-0.086600888,0.077365567,0.039126568,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457725.000000000,289699792.000000000,0.470973902,0.307493564,0.206638091,0.992461190,-0.086598592,0.077368313,0.039124985,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457725.000000000,292071819.000000000,0.470973007,0.307490287,0.206635202,0.992461232,-0.086599231,0.077365699,0.039127683,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457725.000000000,293760776.000000000,0.470971622,0.307493013,0.206634966,0.992461496,-0.086597776,0.077364987,0.039125600,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457725.000000000,295163154.000000000,0.470974042,0.307492037,0.206636872,0.992461167,-0.086599838,0.077367027,0.039125358,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457725.000000000,296569347.000000000,0.470974271,0.307490008,0.206636815,0.992460698,-0.086603833,0.077367759,0.039126959,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457725.000000000,297697067.000000000,0.470973241,0.307492614,0.206637446,0.992461125,-0.086599249,0.077367620,0.039126540,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457725.000000000,298841714.000000000,0.470974642,0.307490723,0.206636237,0.992461004,-0.086601493,0.077367094,0.039125697,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457725.000000000,299395561.000000000,0.470973954,0.307493399,0.206637843,0.992461073,-0.086599182,0.077368916,0.039125443,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457725.000000000,300535917.000000000,0.470974168,0.307490199,0.206635981,0.992460925,-0.086602654,0.077366417,0.039126465,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457725.000000000,303647041.000000000,0.470973489,0.307489869,0.206634868,0.992460995,-0.086602170,0.077365892,0.039126801,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457725.000000000,305019140.000000000,0.470971495,0.307491986,0.206634658,0.992461460,-0.086598032,0.077364406,0.039127096,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1764457725.000000000,305934906.000000000,0.470976140,0.307491709,0.206639084,0.992461087,-0.086598874,0.077369453,0.039124720,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
