ros_time_sec,ros_time_nsec,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,O_dP_EE_d_vx,O_dP_EE_d_vy,O_dP_EE_d_vz,O_dP_EE_d_wx,O_dP_EE_d_wy,O_dP_EE_d_wz,O_dP_EE_c_vx,O_dP_EE_c_vy,O_dP_EE_c_vz,O_dP_EE_c_wx,O_dP_EE_c_wy,O_dP_EE_c_wz
1762365533.000000000,548308849.000000000,0.565209426,0.300980179,0.168896252,0.996308632,-0.040553332,0.075531012,0.003844767,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365533.000000000,550020694.000000000,0.565209944,0.300980121,0.168896667,0.996308621,-0.040552613,0.075531541,0.003844738,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365533.000000000,552331686.000000000,0.565210008,0.300980842,0.168895660,0.996308603,-0.040554184,0.075530965,0.003844323,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365533.000000000,554057836.000000000,0.565211302,0.300981968,0.168898469,0.996308516,-0.040554426,0.075532075,0.003842257,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365533.000000000,556509971.000000000,0.565211749,0.300982024,0.168898634,0.996308450,-0.040554698,0.075532846,0.003841521,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365533.000000000,558434963.000000000,0.565212205,0.300978473,0.168896949,0.996308402,-0.040560457,0.075530342,0.003842310,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365533.000000000,560035943.000000000,0.565209129,0.300981445,0.168896870,0.996308641,-0.040552065,0.075531618,0.003843966,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365533.000000000,562834024.000000000,0.565209805,0.300979663,0.168896139,0.996308740,-0.040552963,0.075529815,0.003844039,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365533.000000000,563738107.000000000,0.565209964,0.300981458,0.168896420,0.996308623,-0.040552865,0.075531440,0.003843559,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365533.000000000,564380168.000000000,0.565208963,0.300982544,0.168896238,0.996308758,-0.040552618,0.075529821,0.003842892,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
