ros_time_sec,ros_time_nsec,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,O_dP_EE_d_vx,O_dP_EE_d_vy,O_dP_EE_d_vz,O_dP_EE_d_wx,O_dP_EE_d_wy,O_dP_EE_d_wz,O_dP_EE_c_vx,O_dP_EE_c_vy,O_dP_EE_c_vz,O_dP_EE_c_wx,O_dP_EE_c_wy,O_dP_EE_c_wz
1762365620.000000000,15093088.000000000,0.541074692,0.304382488,0.152235169,0.995080121,-0.061320236,0.077550916,-0.006033660,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365620.000000000,15714645.000000000,0.541074188,0.304382669,0.152236354,0.995080237,-0.061317703,0.077551572,-0.006031792,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365620.000000000,17659664.000000000,0.541075981,0.304379561,0.152235581,0.995079947,-0.061322006,0.077551911,-0.006031624,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365620.000000000,19486904.000000000,0.541073823,0.304384375,0.152236300,0.995080169,-0.061318042,0.077552074,-0.006033236,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365620.000000000,20624876.000000000,0.541074291,0.304383017,0.152235061,0.995080085,-0.061320261,0.077551413,-0.006032955,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365620.000000000,22308588.000000000,0.541075812,0.304382217,0.152236561,0.995079980,-0.061320123,0.077552851,-0.006033209,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365620.000000000,25556564.000000000,0.541073543,0.304382929,0.152235053,0.995080126,-0.061320188,0.077550949,-0.006032949,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365620.000000000,26480913.000000000,0.541074047,0.304384371,0.152237875,0.995079988,-0.061319896,0.077552882,-0.006033799,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365620.000000000,27989387.000000000,0.541076098,0.304380100,0.152236870,0.995079990,-0.061318885,0.077553891,-0.006030703,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365620.000000000,28759241.000000000,0.541076156,0.304382143,0.152237416,0.995079867,-0.061320014,0.077554426,-0.006032645,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
