ros_time_sec,ros_time_nsec,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,O_dP_EE_d_vx,O_dP_EE_d_vy,O_dP_EE_d_vz,O_dP_EE_d_wx,O_dP_EE_d_wy,O_dP_EE_d_wz,O_dP_EE_c_vx,O_dP_EE_c_vy,O_dP_EE_c_vz,O_dP_EE_c_wx,O_dP_EE_c_wy,O_dP_EE_c_wz
1762365591.000000000,297418594.000000000,0.551767828,0.322826824,0.162520266,0.993664824,-0.072857523,0.085539096,0.000471878,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365591.000000000,298815965.000000000,0.551769362,0.322828380,0.162522421,0.993664677,-0.072857332,0.085540974,0.000469732,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365591.000000000,300053358.000000000,0.551769599,0.322824609,0.162521476,0.993664686,-0.072858830,0.085539581,0.000472728,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365591.000000000,301983833.000000000,0.551767181,0.322826033,0.162520291,0.993664992,-0.072855609,0.085538759,0.000473949,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365591.000000000,303628683.000000000,0.551768803,0.322826996,0.162520918,0.993665083,-0.072852982,0.085539953,0.000471555,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365591.000000000,305889368.000000000,0.551767932,0.322828840,0.162521056,0.993664853,-0.072854207,0.085541582,0.000472203,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365591.000000000,307100057.000000000,0.551767479,0.322828841,0.162519310,0.993665149,-0.072853404,0.085538825,0.000471982,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365591.000000000,308758258.000000000,0.551767634,0.322826769,0.162519784,0.993665160,-0.072852675,0.085539318,0.000472557,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365591.000000000,310015439.000000000,0.551766054,0.322829085,0.162520012,0.993665371,-0.072850379,0.085538817,0.000472912,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1762365591.000000000,311872005.000000000,0.551769411,0.322825771,0.162521416,0.993664829,-0.072855488,0.085540772,0.000472826,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
