ros_time_sec,ros_time_nsec,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,gripper_pos_f1,gripper_pos_f2,O_dP_EE_d_vx,O_dP_EE_d_vy,O_dP_EE_d_vz,O_dP_EE_d_wx,O_dP_EE_d_wy,O_dP_EE_d_wz,O_dP_EE_c_vx,O_dP_EE_c_vy,O_dP_EE_c_vz,O_dP_EE_c_wx,O_dP_EE_c_wy,O_dP_EE_c_wz
1763047652.000000000,884130477.000000000,0.620606158,0.239004335,0.212923761,0.998871302,-0.036927763,0.028178368,-0.009675854,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047652.000000000,885330677.000000000,0.620605661,0.239002738,0.212920619,0.998871369,-0.036927715,0.028176170,-0.009675495,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047652.000000000,886317491.000000000,0.620606266,0.238999344,0.212917936,0.998871214,-0.036933908,0.028174007,-0.009674160,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047652.000000000,887572765.000000000,0.620603577,0.239003305,0.212916867,0.998871370,-0.036930695,0.028172401,-0.009675010,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047652.000000000,888550281.000000000,0.620606638,0.239004970,0.212923541,0.998871203,-0.036929880,0.028178546,-0.009677504,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047652.000000000,890362977.000000000,0.620604451,0.239005461,0.212919199,0.998871476,-0.036925796,0.028174397,-0.009676957,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047652.000000000,891508340.000000000,0.620606975,0.239003853,0.212923852,0.998871191,-0.036930545,0.028177934,-0.009677914,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047652.000000000,892673730.000000000,0.620603965,0.239004755,0.212919267,0.998871383,-0.036929084,0.028173429,-0.009676857,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047652.000000000,893352508.000000000,0.620606653,0.239004740,0.212924825,0.998871134,-0.036931639,0.028178312,-0.009678527,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047652.000000000,894423246.000000000,0.620606823,0.239003782,0.212920327,0.998871304,-0.036929374,0.028175580,-0.009677618,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
