ros_time_sec,ros_time_nsec,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,gripper_pos_f1,gripper_pos_f2,O_dP_EE_d_vx,O_dP_EE_d_vy,O_dP_EE_d_vz,O_dP_EE_d_wx,O_dP_EE_d_wy,O_dP_EE_d_wz,O_dP_EE_c_vx,O_dP_EE_c_vy,O_dP_EE_c_vz,O_dP_EE_c_wx,O_dP_EE_c_wy,O_dP_EE_c_wz
1763047432.000000000,103074789.000000000,0.602337785,0.236924890,0.255900119,0.999222517,0.013799517,0.034657694,0.012568373,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047432.000000000,104029417.000000000,0.602337209,0.236925216,0.255900416,0.999222459,0.013804197,0.034657495,0.012568414,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047432.000000000,105633497.000000000,0.602336499,0.236925871,0.255900560,0.999222509,0.013802290,0.034657127,0.012567574,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047432.000000000,107499361.000000000,0.602336704,0.236924056,0.255900962,0.999222517,0.013802189,0.034656664,0.012568313,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047432.000000000,109712362.000000000,0.602338622,0.236922759,0.255901429,0.999222528,0.013798964,0.034658041,0.012567209,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047432.000000000,110822916.000000000,0.602336905,0.236922158,0.255899972,0.999222522,0.013801698,0.034656317,0.012569423,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047432.000000000,111388921.000000000,0.602336056,0.236926053,0.255900157,0.999222487,0.013802597,0.034657096,0.012569093,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047432.000000000,112489938.000000000,0.602335968,0.236924534,0.255898496,0.999222569,0.013803382,0.034654131,0.012569891,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047432.000000000,114749908.000000000,0.602335674,0.236924554,0.255899064,0.999222616,0.013799397,0.034654533,0.012569371,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047432.000000000,116438388.000000000,0.602336112,0.236925076,0.255899228,0.999222616,0.013799249,0.034654992,0.012568286,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047432.000000000,117591142.000000000,0.602335126,0.236925197,0.255897583,0.999222606,0.013802180,0.034654004,0.012568545,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047432.000000000,118744850.000000000,0.602336623,0.236924519,0.255900229,0.999222591,0.013799387,0.034655813,0.012567825,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047432.000000000,120446443.000000000,0.602336041,0.236925766,0.255900839,0.999222434,0.013803186,0.034658401,0.012569002,nan,nan,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047432.000000000,122719287.000000000,0.602336203,0.236921791,0.255896685,0.999222669,0.013799498,0.034653088,0.012569056,0.004651170,0.004651170,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047432.000000000,123330593.000000000,0.602337949,0.236921458,0.255899289,0.999222572,0.013797513,0.034656520,0.012569449,0.004651170,0.004651170,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1763047432.000000000,125667095.000000000,0.602336267,0.236924583,0.255899166,0.999222590,0.013800465,0.034655127,0.012568637,0.004651170,0.004651170,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
