x,y,z,vx,vy,vz,Kx,Ky,Kz
6.206061579999999633e-01,2.390043350000000122e-01,2.129237609999999892e-01,-2.981999999999999842e-04,-9.581999999999999806e-04,-1.885200000000000070e-03,3.000000000000000000e+02,3.000000000000000000e+02,3.000000000000000000e+02
6.206056610000000306e-01,2.390027379999999924e-01,2.129206190000000054e-01,3.240000000000000150e-05,-1.497300000000000020e-03,-1.747499999999999921e-03,3.120382891016093367e+02,3.061626483633660882e+02,3.066858577553187502e+02
6.206062660000000175e-01,2.389993440000000025e-01,2.129179360000000021e-01,-6.252000000000000179e-04,1.700999999999999875e-04,-1.125600000000000038e-03,3.120382716130251879e+02,3.061626280492047272e+02,3.066858510346355615e+02
6.206035770000000173e-01,2.390033049999999992e-01,2.129168670000000096e-01,1.116000000000000021e-04,1.687799999999999934e-03,1.681500000000000052e-03,3.120378930637934900e+02,3.061621877348599128e+02,3.066857061544419594e+02
6.206066380000000438e-01,2.390049700000000110e-01,2.129235409999999940e-01,2.621999999999999765e-04,6.468000000000000008e-04,6.995999999999999832e-04,3.120379068209176125e+02,3.061622037110378187e+02,3.066857114447066692e+02
6.206044509999999459e-01,2.390054610000000024e-01,2.129191990000000034e-01,1.011000000000000044e-04,-3.351000000000000137e-04,9.330000000000000457e-05,3.120379804443907119e+02,3.061622893405277637e+02,3.066857396281724846e+02
6.206069749999999496e-01,2.390038529999999883e-01,2.129238519999999968e-01,-1.457999999999999932e-04,-2.117999999999999983e-04,2.040000000000000119e-05,3.120380794903494461e+02,3.061624045502610443e+02,3.066857775338843339e+02
6.206039650000000352e-01,2.390047550000000132e-01,2.129192669999999954e-01,-9.660000000000000346e-05,2.661000000000000171e-04,2.918999999999999937e-04,3.120380790383469503e+02,3.061624040227671912e+02,3.066857773625879418e+02
6.206066529999999526e-01,2.390047399999999933e-01,2.129248250000000120e-01,8.574000000000000241e-04,-2.918999999999999937e-04,3.179999999999999776e-04,3.120380545314077949e+02,3.061623755106343197e+02,3.066857679891746784e+02
6.206068230000000296e-01,2.390037819999999980e-01,2.129203269999999926e-01,-4.142999999999999873e-04,5.729999999999999688e-05,-7.586999999999999560e-04,3.120383874807671987e+02,3.061627627989707889e+02,3.066858954041932179e+02
6.206052720000000411e-01,2.390049310000000038e-01,2.129222960000000109e-01,-2.211000000000000075e-04,-3.126000000000000089e-04,7.409999999999999866e-05,3.120381439714076350e+02,3.061624795574973064e+02,3.066858022050103045e+02
6.206060860000000012e-01,2.390027399999999913e-01,2.129205740000000013e-01,-1.169999999999999979e-04,-7.037999999999999768e-04,-1.292100000000000019e-03,3.120381487292685279e+02,3.061624850885134492e+02,3.066858040290708800e+02
6.206048819999999688e-01,2.390025849999999896e-01,2.129179890000000019e-01,-2.046000000000000130e-04,2.495999999999999955e-04,1.998000000000000047e-04,3.120380293338848787e+02,3.061623462280460330e+02,3.066857583177918514e+02
6.206054039999999716e-01,2.390035719999999975e-01,2.129212400000000116e-01,-3.951000000000000085e-04,8.333999999999999828e-04,1.991999999999999901e-04,3.120379635607737328e+02,3.061622697157196740e+02,3.066857331515576561e+02
6.206035650000000237e-01,2.390053629999999985e-01,2.129186530000000133e-01,-5.081999999999999929e-04,2.880000000000000073e-04,-7.182000000000000016e-04,3.120377471308878512e+02,3.061620179589041300e+02,3.066856503326631582e+02
6.206037100000000306e-01,2.390045319999999918e-01,2.129188459999999949e-01,4.845000000000000131e-04,-1.008599999999999905e-03,2.268000000000000105e-04,3.120374455463239656e+02,3.061616671639860670e+02,3.066855349116170828e+02
6.206051799999999785e-01,2.390020009999999917e-01,2.129194090000000039e-01,7.739999999999999485e-04,-1.421999999999999870e-04,1.007400000000000092e-03,3.120377840366320470e+02,3.061620608949630196e+02,3.066856644483353875e+02
6.206062900000000049e-01,2.390040579999999915e-01,2.129222040000000038e-01,1.544999999999999878e-04,1.056000000000000054e-04,6.689999999999999983e-04,3.120381793388247047e+02,3.061625206999128750e+02,3.066858157370991194e+02
6.206056949999999572e-01,2.390023530000000007e-01,2.129216389999999959e-01,-4.245000000000000184e-04,-6.222000000000000534e-04,-1.064400000000000068e-03,3.120383104264926146e+02,3.061626731714781045e+02,3.066858659132790308e+02
6.206048749999999448e-01,2.390019840000000007e-01,2.129186560000000117e-01,-4.838999999999999985e-04,9.870000000000000030e-05,-1.090199999999999936e-03,3.120381302282015668e+02,3.061624635784367001e+02,3.066857969389998289e+02
6.206040819999999458e-01,2.390026819999999941e-01,2.129180049999999935e-01,-1.991999999999999901e-04,3.497999999999999916e-04,2.939999999999999905e-04,3.120378077916751636e+02,3.061620885344038925e+02,3.066856735311280318e+02
6.206042109999999612e-01,2.390031499999999975e-01,2.129196359999999955e-01,6.449999999999999570e-05,1.596000000000000034e-04,-3.300000000000000253e-05,3.120377415835226884e+02,3.061620115147220531e+02,3.066856482001114728e+02
6.206042969999999714e-01,2.390032139999999916e-01,2.129178949999999959e-01,-5.940000000000000049e-05,1.082700000000000025e-03,1.091999999999999980e-04,3.120377267951545832e+02,3.061619943141349154e+02,3.066856425396067038e+02
6.206040130000000099e-01,2.390067590000000131e-01,2.129199999999999982e-01,5.130000000000000011e-05,8.339999999999999432e-05,3.378000000000000252e-04,3.120375448679079682e+02,3.061617826951979850e+02,3.066855729199405687e+02
6.206044680000000202e-01,2.390034920000000118e-01,2.129190210000000139e-01,6.225000000000000065e-04,-1.303499999999999971e-03,4.920000000000000328e-05,3.120375987252459709e+02,3.061618453367727852e+02,3.066855935355514475e+02
6.206060879999999447e-01,2.390024139999999964e-01,2.129201639999999951e-01,-4.586999999999999823e-04,9.030000000000000483e-04,4.370999999999999994e-04,3.120379961454551108e+02,3.061623076192277608e+02,3.066857456208695112e+02
6.206029389999999646e-01,2.390065020000000096e-01,2.129204779999999964e-01,2.537999999999999892e-04,1.818000000000000009e-04,6.687000000000000452e-04,3.120377887372331998e+02,3.061620663519800019e+02,3.066856662589603957e+02
