time,Fx,Fy,Fz,Tx,Ty,Tz
1.763057036581763983e+09,1.001381140549205268e-01,6.623496918456331373e-02,-1.155232989148575751e+00,-4.007806214473972339e-01,1.871448869945648297e-01,1.414124262622992179e-01
1.763057036585745811e+09,1.173387667651053096e-01,7.976986486428822021e-02,-1.166842804294399905e+00,-3.986845991346157358e-01,1.836412307365087315e-01,1.409418584477308278e-01
1.763057036591804028e+09,1.016397440004943031e-01,8.774066464163252088e-02,-1.364166518962864227e+00,-4.106379166101228329e-01,1.841312612457051967e-01,1.446544107790126432e-01
1.763057036594788074e+09,9.937535577046714697e-02,1.111042028259856956e-01,-1.397169094237253217e+00,-4.087503823886806664e-01,1.846172726643618700e-01,1.462743519768180678e-01
1.763057036598775387e+09,9.725235493060492564e-02,1.322106140105897276e-01,-1.318979817554781331e+00,-4.009203791036223263e-01,1.865475682887930975e-01,1.473258242717763178e-01
1.763057036601817846e+09,9.335472567354874407e-02,1.413537507372964741e-01,-1.282198975189421164e+00,-3.968321143855769173e-01,1.874318356356277082e-01,1.482077927579555643e-01
1.763057036606795549e+09,1.236566105425809109e-01,2.072047650477988612e-01,-1.115489713490611878e+00,-3.739000267867512162e-01,1.843348439119937843e-01,1.490600568267867188e-01
1.763057036608748436e+09,1.321541172064521208e-01,2.030195203427779815e-01,-1.050708081295396390e+00,-3.692652598663721530e-01,1.827455467525316291e-01,1.495633133892075028e-01
1.763057036613739967e+09,1.200007115452323969e-01,2.795904137548660962e-01,-9.652995443646310569e-01,-3.477005188791991719e-01,1.833201768010185306e-01,1.518055016716461092e-01
1.763057036616778612e+09,6.128279801692179674e-02,2.561065352447287058e-01,-9.960159206322174441e-01,-3.555821297384910151e-01,1.904330656599240446e-01,1.550625534981940890e-01
1.763057036620750427e+09,-2.244354414130515091e-02,7.155622651946025314e-02,-1.074912856676234929e+00,-3.926591829834150116e-01,1.978310363367552782e-01,1.606420883997303484e-01
1.763057036625202417e+09,-7.569368260448283703e-02,-8.713263419808293941e-02,-1.077051516312240720e+00,-4.178805978489968376e-01,2.010019338915942089e-01,1.658655407538969229e-01
1.763057036629433155e+09,-9.889456095060818186e-02,-1.125144764621999610e-01,-1.084105234044130173e+00,-4.219721627552097676e-01,2.033760141893360129e-01,1.673740296333038058e-01
1.763057036633761883e+09,-2.934894627173540438e-01,-2.482800325708919495e-02,-9.812012876770825898e-01,-3.948680076711693077e-01,2.295838023090194802e-01,1.795453498261370684e-01
1.763057036637767553e+09,-3.749710015310906974e-01,1.157858077957858028e-01,-1.212320307654994211e+00,-3.800229817256112752e-01,2.379059105514778061e-01,1.898188380969006439e-01
1.763057036640791655e+09,-4.963839613961598118e-01,3.495990246799346446e-01,-1.446937491120332098e+00,-3.411834572105475472e-01,2.531246938030831672e-01,1.967470688296284465e-01
1.763057036642737389e+09,-6.166958698445617060e-01,4.551700286126814654e-01,-1.551620513331341877e+00,-3.211308227000200799e-01,2.694612893433798728e-01,2.009933442687936167e-01
1.763057036648725510e+09,-9.275246178336178371e-01,4.982936082988628779e-01,-1.575900385757116773e+00,-3.002447187014221641e-01,3.132400093598606272e-01,2.136950935649229166e-01
1.763057036651730299e+09,-1.001462715003924364e+00,5.604682385526416066e-01,-1.557930358640055690e+00,-2.848788408312526443e-01,3.246598567559783599e-01,2.200608540588026296e-01
1.763057036656746149e+09,-1.148297599680980108e+00,8.015473082984964082e-01,-1.726277145729188778e+00,-2.459914266434919949e-01,3.472727089732181027e-01,2.312648262476861283e-01
1.763057036659749269e+09,-1.246351236218263603e+00,9.201233421027101844e-01,-1.794368005786372011e+00,-2.226804086747078693e-01,3.620618966704483022e-01,2.366614798402514597e-01
1.763057036664721012e+09,-1.494641473508992124e+00,1.014816542898175689e+00,-1.815521157775819461e+00,-1.981806802555170499e-01,4.011555838426214549e-01,2.453582073610111047e-01
1.763057036668724060e+09,-1.706961155572540134e+00,1.020771877830863206e+00,-1.816222108533812163e+00,-1.936079795905788214e-01,4.361237848726980393e-01,2.540771788399904807e-01
1.763057036670749903e+09,-1.799325492836155949e+00,9.233543147839455845e-01,-1.853987112385223845e+00,-2.121486369621327639e-01,4.500634322888746874e-01,2.598316316668611847e-01
1.763057036674728155e+09,-1.985149936232607271e+00,8.234581337069908358e-01,-1.804427778897034651e+00,-2.247167473383348546e-01,4.822729505983861520e-01,2.707854887957505396e-01
1.763057036679719210e+09,-2.258442737325332850e+00,8.696586462504544146e-01,-1.772632189708302164e+00,-2.082295523005175952e-01,5.311377290162939691e-01,2.844033634965955626e-01
1.763057036682722807e+09,-2.459685769927113519e+00,8.613753631234374319e-01,-1.806078476416719703e+00,-2.107399070745702430e-01,5.651352894429096940e-01,2.937776201998977266e-01
1.763057036687744617e+09,-2.807359238330257245e+00,8.267758748544690173e-01,-2.119447384980505333e+00,-2.287537773045182632e-01,6.181231146178710611e-01,3.093701402238667741e-01
1.763057036692856073e+09,-3.075270070194466854e+00,7.635570435528336031e-01,-2.663990831170911289e+00,-2.530411327329718518e-01,6.494260819592161393e-01,3.235419271499148097e-01
1.763057036694717646e+09,-3.154147856675512784e+00,8.246307002216731741e-01,-2.835793664940849723e+00,-2.448289093529126825e-01,6.583815428270445302e-01,3.284094969757928029e-01
1.763057036699774742e+09,-3.213171502632325094e+00,1.239458878612198056e+00,-3.091350262060176046e+00,-1.663616442405108087e-01,6.643094033187296743e-01,3.373722959163250601e-01
1.763057036702753067e+09,-3.194233715321487477e+00,1.376312758210708420e+00,-3.098927475053194325e+00,-1.397461201534166420e-01,6.626506124619048199e-01,3.434891963854367902e-01
1.763057036705779314e+09,-3.197123973832414201e+00,1.431434248665170106e+00,-3.075596822522962182e+00,-1.343566580677127975e-01,6.661197391559484648e-01,3.518046287815004836e-01
1.763057036709761143e+09,-3.309189492452480508e+00,1.237353560321079460e+00,-3.160061518535280278e+00,-1.902625542469579822e-01,6.869749599931649353e-01,3.676658696269479720e-01
1.763057036713723898e+09,-3.406966330539758392e+00,1.100828983303304920e+00,-3.229162196628650339e+00,-2.290722491695600938e-01,7.058511129868080269e-01,3.822823726016189583e-01
1.763057036718756676e+09,-3.507998760818761053e+00,1.566363488348798683e+00,-3.457158681691781865e+00,-1.529393523579296310e-01,7.243216180387000991e-01,3.955800978190312511e-01
1.763057036721789122e+09,-3.537351890237642404e+00,1.966733654811800180e+00,-3.498082922104832626e+00,-7.711590041311584820e-02,7.312042761999913987e-01,4.007556308049909366e-01
1.763057036725752831e+09,-3.656699440410120960e+00,2.149458617135872274e+00,-3.386253198149517196e+00,-3.743296571979771309e-02,7.535004204538982009e-01,4.081216020978141179e-01
1.763057036729781628e+09,-3.827378192067854457e+00,1.946731926169732674e+00,-3.294779963722320293e+00,-6.926386074134965876e-02,7.805047904628252819e-01,4.162208057886698231e-01
1.763057036732711792e+09,-3.909285772202674814e+00,2.010528130574528838e+00,-3.321676138420657232e+00,-5.588452058856494681e-02,7.936774279675907762e-01,4.213698153447403838e-01
1.763057036735795021e+09,-3.991572016870867046e+00,2.184607431173470893e+00,-3.467817975330621305e+00,-3.010781160381836158e-02,8.070663347117705833e-01,4.274631944202700873e-01
1.763057036739734173e+09,-4.125467161693648244e+00,2.224234132257525420e+00,-3.261181049968215007e+00,-1.403154763438738475e-02,8.336637140076317287e-01,4.341169779781364757e-01
1.763057036742809534e+09,-4.223392729681879842e+00,2.244249957836979448e+00,-2.824678040701672721e+00,8.333437804288506418e-03,8.578081284607420587e-01,4.369304629641015958e-01
