time,Fx,Fy,Fz,Tx,Ty,Tz
1.763057154943340302e+09,2.972384320778249656e-01,-2.218046914857094432e-01,-1.236677604989956158e+00,-5.574496099582546549e-01,1.043727685943857120e-01,1.372990331316402135e-01
1.763057154945346594e+09,3.005830760244228572e-01,-2.156267975665573378e-01,-1.238410275127286297e+00,-5.564129622216651416e-01,1.036562828756587007e-01,1.366553495885647063e-01
1.763057154950338364e+09,2.992990106092119906e-01,-1.959188823172164640e-01,-1.237712621999547125e+00,-5.532317817503225044e-01,1.032526827595435515e-01,1.340664692581808037e-01
1.763057154954332113e+09,2.953368566075710855e-01,-2.141912933715426071e-01,-1.242181302200697335e+00,-5.567173969756811225e-01,1.022599037536502387e-01,1.316865593087561404e-01
1.763057154957331657e+09,2.891356751885986731e-01,-2.028155049786663777e-01,-1.276886148693418876e+00,-5.573777785549756114e-01,1.021954454222822051e-01,1.302375066554015970e-01
1.763057154962342978e+09,3.145081685294677243e-01,-1.626934848774392040e-01,-1.285182772984991395e+00,-5.495465285923267773e-01,9.642261320833775406e-02,1.291734831208110612e-01
1.763057154965349913e+09,3.290397777758000131e-01,-9.977420048472228353e-02,-1.220048578877150680e+00,-5.341334986474164381e-01,9.531004310317504891e-02,1.297171872370579404e-01
1.763057154969341755e+09,3.081051634204153289e-01,-1.013481613045071617e-01,-1.080651727240687476e+00,-5.274759574699945386e-01,1.005082974433240267e-01,1.326639105339988689e-01
1.763057154972333193e+09,2.920566899170688457e-01,-6.653136763704445289e-02,-9.822120187283353010e-01,-5.179167163317195399e-01,1.055653502823902523e-01,1.362927121707108724e-01
1.763057154975358725e+09,2.714137867503575441e-01,-1.948406861733148476e-02,-1.000259328406372772e+00,-5.112304162450862499e-01,1.097482903053858955e-01,1.414183980828836729e-01
1.763057154978422165e+09,2.286297220269197794e-01,-1.341530262933101070e-01,-1.014435202396006153e+00,-5.355768103533153912e-01,1.151398972820548705e-01,1.480457185979023038e-01
1.763057154983345270e+09,1.564241889182872158e-01,-2.681455196961409770e-01,-9.282659652952430784e-01,-5.573400091617328744e-01,1.252984807978740067e-01,1.583889755079551376e-01
1.763057154986361265e+09,1.345364970526375381e-01,-1.702887374837245560e-01,-8.886487499888270358e-01,-5.343782554307404675e-01,1.281681930531705926e-01,1.634619688048771224e-01
1.763057154991350412e+09,5.282647586481450941e-02,-3.745918634805067010e-02,-1.008571097259176597e+00,-5.128609982600027539e-01,1.380591427290360773e-01,1.741866074922719110e-01
1.763057154995345116e+09,-1.175268617532465865e-01,-5.761698066543877866e-02,-1.175887498136650944e+00,-5.224767552057526521e-01,1.623595141749213100e-01,1.851697938431619006e-01
1.763057154998387098e+09,-2.721964259687378873e-01,-1.364869710372162981e-01,-1.339291851594614169e+00,-5.420022781473218254e-01,1.839434923364348107e-01,1.948761578697773000e-01
1.763057155003356457e+09,-5.064068693775999330e-01,1.755902702282840511e-01,-1.452190571439591960e+00,-4.719591752710162735e-01,2.223577568721931685e-01,2.081894427999637365e-01
1.763057155006362915e+09,-7.136921633397242948e-01,3.213642020411141553e-01,-1.703795025623208392e+00,-4.517844341677003106e-01,2.533057524046758990e-01,2.189242186911457833e-01
1.763057155010369539e+09,-1.016330435477687866e+00,1.818651662038365258e-01,-1.776424751209672470e+00,-4.792453319050051785e-01,3.007264585163403336e-01,2.333423984323547418e-01
1.763057155012373209e+09,-1.119483204250044661e+00,1.635226108129174682e-01,-1.702078771220401521e+00,-4.767946701253101827e-01,3.194515957753511493e-01,2.389346984595609180e-01
1.763057155018342257e+09,-1.371157717465540937e+00,4.527850674443407719e-01,-1.643994495119087462e+00,-4.120286249694957159e-01,3.669855303556825432e-01,2.544879318188427719e-01
1.763057155022370815e+09,-1.598244350001905012e+00,5.982359867813170640e-01,-1.704954418961351026e+00,-3.811118228019637622e-01,4.061640070681711845e-01,2.659864212890913349e-01
1.763057155027240276e+09,-1.822427801957143378e+00,7.273013545935071988e-01,-1.783101230037422047e+00,-3.565807002090075617e-01,4.452272793065495948e-01,2.755312762440147445e-01
1.763057155031372786e+09,-2.482490943896482172e+00,9.131773715422051296e-01,-2.325656737245855865e+00,-3.470736679604960462e-01,5.514141997795545258e-01,2.990502065452173563e-01
1.763057155033350229e+09,-2.703495530473933428e+00,8.710930374593501835e-01,-2.451585040620606559e+00,-3.586758139438492865e-01,5.873726058584658460e-01,3.064223948948415766e-01
1.763057155038339853e+09,-3.041857186083485765e+00,9.436576583476189439e-01,-2.530765467981096251e+00,-3.326388631478933156e-01,6.474242946201568261e-01,3.199327352198919616e-01
1.763057155040372133e+09,-3.134437773503259805e+00,1.013037458769609378e+00,-2.489442348463526411e+00,-3.102138443778350574e-01,6.653447084512627008e-01,3.243052471473935605e-01
1.763057155045329332e+09,-3.352796595438123362e+00,1.184831353360573880e+00,-2.356546813354755354e+00,-2.585615940701033733e-01,7.101357918783623990e-01,3.363398452947528039e-01
1.763057155048350811e+09,-3.480504731790632356e+00,1.172961157086442885e+00,-2.623362850128887924e+00,-2.730124560379748044e-01,7.309739001679544934e-01,3.477115709709089342e-01
1.763057155052332163e+09,-3.637384052257035094e+00,1.078605068417371360e+00,-3.005133558872568500e+00,-3.146522488676376517e-01,7.554257294885664553e-01,3.644413898736033053e-01
1.763057155057338476e+09,-3.652910541213396645e+00,1.204368070753390141e+00,-3.341540869171793382e+00,-3.106463132424287510e-01,7.607269892460967187e-01,3.807829205405174888e-01
1.763057155061334133e+09,-3.482722245454092924e+00,1.734797931546634420e+00,-3.609522257407073997e+00,-2.155536469739073591e-01,7.379287128157956399e-01,3.885575509820207718e-01
1.763057155065353870e+09,-3.443576680815866986e+00,2.076299165804901037e+00,-3.742954344663451227e+00,-1.517131373246580206e-01,7.366183746563768064e-01,3.961214915631351419e-01
1.763057155068353415e+09,-3.552168407979960474e+00,2.221918449277020535e+00,-3.717116316955418220e+00,-1.235251546029006858e-01,7.612749095326267756e-01,4.023573313961057440e-01
1.763057155070346117e+09,-3.642510616054729589e+00,2.363972072200910546e+00,-3.730331370855334061e+00,-9.928341498340345628e-02,7.810433400069369814e-01,4.071338669678383204e-01
1.763057155075356007e+09,-3.952295465398970364e+00,2.526795483598224479e+00,-3.935621682309791591e+00,-8.962550652768146164e-02,8.378795626763444471e-01,4.228382779546135395e-01
1.763057155078397989e+09,-4.128467900366631582e+00,2.587880273203124304e+00,-4.035531190464936913e+00,-8.647554292851460100e-02,8.699258136557168619e-01,4.312082214335713481e-01
1.763057155083377600e+09,-4.351683738677122548e+00,2.542471163104207843e+00,-3.792017789326738608e+00,-7.651309150219956501e-02,9.168506412594860100e-01,4.382872965515128838e-01
1.763057155087361097e+09,-4.522556191008549220e+00,1.994929496804802138e+00,-3.314089236110028480e+00,-1.477891647057194835e-01,9.511400792217595823e-01,4.430879946254711044e-01
1.763057155092356920e+09,-4.823272117380820845e+00,1.730100668331567837e+00,-2.801506421471416708e+00,-1.607097380577970080e-01,1.014730152233377369e+00,4.493805434053604331e-01
1.763057155095411777e+09,-5.164677315086566800e+00,1.651147604124383328e+00,-2.645161877040602683e+00,-1.715513328132183268e-01,1.078540818990525008e+00,4.565326756192140678e-01
1.763057155098379850e+09,-5.512189098881993488e+00,1.858745957178512542e+00,-2.553432712955347128e+00,-1.359405103374073664e-01,1.144321301406002078e+00,4.635103435778957226e-01
1.763057155102333784e+09,-5.677415862609484165e+00,1.922423168599184162e+00,-2.557505734308441969e+00,-1.298252586539822562e-01,1.177049068431402334e+00,4.712624083816792098e-01
1.763057155106349468e+09,-4.896696619101775561e+00,2.112186228482701544e+00,-2.495241803127024038e+00,-7.830248045619873920e-02,1.049867754668257103e+00,4.719743881303637423e-01
1.763057155110348940e+09,-3.836809990240796608e+00,2.242343627545308138e+00,-2.038240276713304766e+00,-5.699744543864457454e-03,8.808856023341671282e-01,4.674858363746556833e-01
1.763057155113353252e+09,-3.165101791201824444e+00,2.295225353413393510e+00,-1.553775014133836452e+00,4.557324651431799573e-02,7.783703892677018565e-01,4.642784342523995078e-01
1.763057155117340326e+09,-2.699629052010855013e+00,2.618994050048847999e+00,-9.471792602448858567e-01,1.565427045389057026e-01,7.131135330625490987e-01,4.612618053352082748e-01
1.763057155121354818e+09,-2.859809151946451689e+00,3.248322891385175826e+00,-1.146850536150148869e+00,2.864607185619887364e-01,7.380553788297523621e-01,4.632966261861214963e-01
1.763057155124354839e+09,-3.490952866280090383e+00,3.534894723540482619e+00,-1.442394592432576728e+00,3.479209893589673142e-01,8.375883382756711404e-01,4.653796929272315808e-01
1.763057155128362894e+09,-4.649294897542930904e+00,3.015038456088677599e+00,-1.754341729055365784e+00,2.629264215924813075e-01,1.015222579564428518e+00,4.709685829573788673e-01
1.763057155133421898e+09,-5.881748052752333145e+00,1.757410618772882627e+00,-2.692407934610170361e+00,-1.071431056464294818e-02,1.187548508397316072e+00,4.886976740827365662e-01
1.763057155135372400e+09,-5.974023755555135651e+00,1.531479357638442007e+00,-3.347496120959751131e+00,-8.880371805006473385e-02,1.190349029733745567e+00,4.975456222777107085e-01
1.763057155139370441e+09,-5.117445774648961887e+00,1.325728185996869923e+00,-4.617204478271356827e+00,-2.036342957008012156e-01,1.029892993163341597e+00,5.129999347833177348e-01
1.763057155142361403e+09,-4.118290874746413088e+00,1.358160583756225170e+00,-4.942565338082826720e+00,-2.340808353553393839e-01,8.663796048311123155e-01,5.199352412450513050e-01
1.763057155148348331e+09,-3.207129602241445721e+00,1.187472366448231842e+00,-4.214081226040785388e+00,-3.035934440222854969e-01,7.492738455688933152e-01,5.317507320599385023e-01
1.763057155152339935e+09,-3.886467537330648980e+00,7.149629296495798592e-01,-3.134047549714122027e+00,-3.895038243145989010e-01,8.890465243963915354e-01,5.402209126601095202e-01
1.763057155155344248e+09,-4.620195466392957862e+00,9.934254405308609037e-01,-2.469681792582811841e+00,-3.226441394309250699e-01,1.029665541331132417e+00,5.415093686913107218e-01
1.763057155161401272e+09,-5.238548475277784000e+00,2.729910610874394017e+00,-2.112457554995311959e+00,5.132072253661378730e-02,1.142157615713566221e+00,5.353512653572499724e-01
1.763057155164349079e+09,-5.059869741954303279e+00,3.337400201997209770e+00,-2.550616559833860819e+00,1.710295205365956472e-01,1.104121845476867980e+00,5.348673133287367154e-01
1.763057155168331623e+09,-4.297836480937698767e+00,3.853461981037113571e+00,-2.883860021978612131e+00,2.999267178936418921e-01,9.682067584770891466e-01,5.300601694144985165e-01
1.763057155172331095e+09,-3.414220934696976073e+00,3.561314298088374297e+00,-2.138490498106714544e+00,3.312563607561036516e-01,8.171980753737138059e-01,5.200797103009776601e-01
1.763057155175349236e+09,-2.985922315257513837e+00,2.446015599678646346e+00,-1.174679844258175399e+00,2.000996462208913251e-01,7.426004229701570480e-01,5.135157438328090684e-01
1.763057155179420710e+09,-3.092476980158115563e+00,7.169567700498999940e-01,-1.860494196689917723e-01,-5.454936791280556863e-02,7.528115859066157878e-01,5.109041852224363023e-01
1.763057155184388399e+09,-4.036682196163096314e+00,1.751212899447689153e-02,-7.521131750568226249e-01,-2.253896407188187845e-01,8.885887287268596779e-01,5.230128894175405385e-01
1.763057155186390400e+09,-4.385249501421418117e+00,6.016631568179811040e-01,-1.554535711264810161e+00,-1.641059310045549502e-01,9.395271663300197584e-01,5.297544710802570833e-01
1.763057155190376520e+09,-4.702402249247837673e+00,2.263700708447902610e+00,-3.550172997349138715e+00,2.847663755828012261e-02,9.850086886280612353e-01,5.444927072739509377e-01
1.763057155195395231e+09,-4.368960477869696213e+00,3.016684762765180050e+00,-4.902978917292074357e+00,6.844289097183610393e-02,9.291919218544840708e-01,5.594117444859436628e-01
1.763057155198431730e+09,-4.282723057908933484e+00,2.645114696403293220e+00,-4.697761700470358015e+00,-2.555473065863256635e-02,9.243189693727811296e-01,5.670010876302232772e-01
1.763057155202392578e+09,-4.365845791182239921e+00,1.975286344824728646e+00,-3.578083015072752282e+00,-1.486752518254104427e-01,9.636914526792839109e-01,5.730032100885343871e-01
1.763057155205435038e+09,-4.386397051236833100e+00,1.803523438681970070e+00,-2.752074536871939259e+00,-1.711190995883996313e-01,9.822081574466180465e-01,5.746126799530424378e-01
1.763057155209455967e+09,-4.194688589755595665e+00,1.975125584890879527e+00,-2.425690856268077678e+00,-1.199656206198333741e-01,9.479271829155162532e-01,5.738494933984553681e-01
1.763057155212447643e+09,-3.742935755556608068e+00,2.142298058843517872e+00,-2.382806737852268153e+00,-5.138556709802720446e-02,8.656368055452953181e-01,5.682715468714784057e-01
1.763057155218448162e+09,-3.358917291089074997e+00,9.088500040659678314e-01,-1.415002983272762860e+00,-1.343128847591825714e-01,7.782899747870161145e-01,5.529908206000800908e-01
1.763057155220442295e+09,-3.460490068114057571e+00,7.279739377818756907e-01,-9.891684234570106149e-01,-1.069330318408477642e-01,7.878634338479606480e-01,5.446892347737094520e-01
1.763057155225375414e+09,-3.950450268633874717e+00,8.270277248656312530e-01,-2.624719586675620109e-01,3.874618278911585306e-02,8.558082318007697031e-01,5.236303367426802247e-01
1.763057155229363918e+09,-4.224522811737925210e+00,9.568027775675856939e-01,-1.351545244432132975e+00,8.809299159639042906e-03,8.766584966459743944e-01,5.326837464407563338e-01
1.763057155233395100e+09,-4.184850197053742171e+00,2.050574982181921246e+00,-3.302145871910426411e+00,6.389633350746030949e-02,8.599276235835520144e-01,5.532700688943631429e-01
1.763057155236419201e+09,-4.115391725084315944e+00,2.437514602181989787e+00,-4.250338078113696128e+00,2.850548689280577377e-02,8.527647183196668257e-01,5.694934174777132041e-01
