x,y,z,vx,vy,vz,Kx,Ky,Kz
6.150793110000000175e-01,2.198251049999999929e-01,2.209569359999999927e-01,4.860000000000000225e-05,-6.269999999999999532e-04,-1.097399999999999895e-03,3.000000000000000000e+02,3.000000000000000000e+02,3.000000000000000000e+02
6.150793919999999471e-01,2.198240599999999878e-01,2.209551070000000117e-01,1.868999999999999893e-04,-6.239999999999999887e-05,2.105999999999999962e-04,3.129533146140131521e+02,3.072274418910582767e+02,3.070421146557112593e+02
6.150799340000000504e-01,2.198248969999999913e-01,2.209576380000000118e-01,3.573000000000000113e-04,1.163999999999999969e-04,7.056000000000000206e-04,3.129532978262957954e+02,3.072274221901826650e+02,3.070421081593680697e+02
6.150805830000000141e-01,2.198244480000000056e-01,2.209574589999999950e-01,-1.346999999999999944e-04,-8.295000000000000507e-04,-9.068999999999999805e-04,3.129533695797439350e+02,3.072275058696742462e+02,3.070421364837648639e+02
6.150794849999999814e-01,2.198221320000000034e-01,2.209546149999999931e-01,-1.337999999999999997e-04,-2.444999999999999799e-04,-9.689999999999999720e-05,3.129530744824087378e+02,3.072271610540195752e+02,3.070420207080305772e+02
6.150801369999999713e-01,2.198236329999999905e-01,2.209571359999999984e-01,4.256999999999999933e-04,4.721999999999999852e-04,6.248999999999999564e-04,3.129530492010842977e+02,3.072271315001366929e+02,3.070420108033177371e+02
6.150809040000000394e-01,2.198237060000000076e-01,2.209566980000000069e-01,1.259999999999999998e-04,4.181999999999999737e-04,1.875000000000000039e-04,3.129531451713485808e+02,3.072272435573952407e+02,3.070420485424859862e+02
6.150805569999999722e-01,2.198250270000000062e-01,2.209577610000000025e-01,-3.155999999999999734e-04,1.478999999999999900e-04,-1.599000000000000107e-04,3.129532210222797630e+02,3.072273322249683929e+02,3.070420782617458144e+02
6.150798520000000380e-01,2.198241989999999979e-01,2.209561650000000099e-01,-9.300000000000000744e-06,-8.838000000000000153e-04,-3.132000000000000235e-04,3.129532979985210659e+02,3.072274222882275012e+02,3.070421083364903438e+02
6.150805259999999608e-01,2.198220810000000025e-01,2.209567169999999969e-01,9.179999999999999521e-05,-2.709000000000000253e-04,-1.986000000000000027e-04,3.129530853093779115e+02,3.072271736254799066e+02,3.070420250402378883e+02
