x,y,z,vx,vy,vz,Kx,Ky,Kz
6.139832370000000150e-01,2.239449639999999964e-01,1.974125640000000126e-01,-3.798000000000000161e-04,1.018199999999999921e-03,-1.321799999999999928e-03,3.000000000000000000e+02,3.000000000000000000e+02,3.000000000000000000e+02
6.139826040000000429e-01,2.239466609999999913e-01,1.974103610000000064e-01,-1.169999999999999979e-05,2.192999999999999908e-04,2.442000000000000269e-04,3.112328412739929036e+02,3.052309026242905929e+02,3.063823864950119855e+02
6.139831980000000078e-01,2.239456950000000002e-01,1.974133780000000005e-01,-1.833000000000000102e-04,-5.726999999999999886e-04,-1.809000000000000061e-04,3.112328143169756913e+02,3.052308714870345057e+02,3.063823765812161355e+02
6.139819930000000037e-01,2.239447519999999969e-01,1.974097579999999907e-01,2.831999999999999990e-04,-6.782999999999999533e-04,3.708000000000000141e-04,3.112328153959651331e+02,3.052308727333617071e+02,3.063823769780015027e+02
6.139841419999999550e-01,2.239434339999999968e-01,1.974146139999999883e-01,5.228999999999999707e-04,3.576000000000000185e-04,1.337999999999999997e-03,3.112330234085102347e+02,3.052311129963813983e+02,3.063824534840237561e+02
6.139837360000000022e-01,2.239459440000000079e-01,1.974142180000000024e-01,-7.715999999999999985e-04,7.464000000000000365e-04,-1.454699999999999960e-03,3.112332117177315922e+02,3.052313304981051374e+02,3.063825227440603953e+02
6.139815699999999765e-01,2.239459219999999917e-01,1.974097649999999871e-01,-1.071000000000000012e-04,-2.942999999999999978e-04,-5.982000000000000121e-04,3.112327789531703957e+02,3.052308306402637754e+02,3.063823635762984168e+02
6.139833789999999958e-01,2.239449629999999969e-01,1.974122239999999973e-01,2.598000000000000266e-04,-7.862999999999999764e-04,-1.599000000000000107e-04,3.112327609533865598e+02,3.052308098513735786e+02,3.063823569547530496e+02
6.139824360000000203e-01,2.239433010000000113e-01,1.974092319999999900e-01,-2.651999999999999952e-04,-2.187000000000000033e-04,-9.299999999999999727e-05,3.112329601253170495e+02,3.052310399034993225e+02,3.063824302055782027e+02
6.139824950000000170e-01,2.239442339999999920e-01,1.974119139999999939e-01,1.317000000000000028e-04,1.043099999999999930e-03,1.139400000000000048e-03,3.112328853584066906e+02,3.052309535442609558e+02,3.063824027075539789e+02
6.139828750000000390e-01,2.239467780000000130e-01,1.974130299999999894e-01,2.585999999999999974e-04,2.376000000000000020e-04,-4.350000000000000026e-05,3.112328280457609253e+02,3.052308873426856053e+02,3.063823816315963882e+02
6.139833569999999519e-01,2.239450259999999915e-01,1.974117689999999870e-01,-1.091999999999999980e-04,-2.838000000000000136e-04,-4.655999999999999874e-04,3.112328941092057448e+02,3.052309636494813958e+02,3.063824059282098915e+02
6.139825110000000086e-01,2.239458320000000113e-01,1.974114780000000013e-01,-2.286000000000000000e-04,-5.970000000000000100e-05,-6.509999999999999674e-05,3.112328774892377510e+02,3.052309444539690730e+02,3.063823998146363010e+02
6.139825949999999644e-01,2.239448270000000130e-01,1.974115519999999901e-01,2.199000000000000054e-04,-7.494000000000000010e-04,-8.880000000000000360e-05,3.112327963663954051e+02,3.052308507534156661e+02,3.063823699790070805e+02
6.139832440000000391e-01,2.239433339999999939e-01,1.974111819999999906e-01,2.592000000000000120e-04,-5.310000000000000321e-05,9.600000000000000243e-05,3.112329772910144925e+02,3.052310597294558647e+02,3.063824365201323872e+02
6.139834589999999537e-01,2.239446499999999951e-01,1.974118719999999882e-01,-1.386000000000000079e-04,9.095999999999999919e-04,7.169999999999999724e-04,3.112330858836731977e+02,3.052311851587684259e+02,3.063824764589159599e+02
6.139827820000000047e-01,2.239463660000000078e-01,1.974135720000000094e-01,-8.007000000000000011e-04,5.393999999999999923e-04,-4.104000000000000009e-04,3.112329317032007339e+02,3.052310070714522681e+02,3.063824197553993827e+02
6.139807900000000540e-01,2.239464479999999924e-01,1.974105039999999867e-01,-1.083000000000000033e-04,-2.828999999999999918e-04,-8.111999999999999853e-04,3.112325433601875488e+02,3.052305585201788745e+02,3.063822769307481622e+02
6.139824210000000004e-01,2.239454230000000046e-01,1.974108679999999894e-01,6.717000000000000097e-04,-2.598000000000000266e-04,6.945000000000000218e-04,3.112325176434455898e+02,3.052305288186525445e+02,3.063822674705636473e+02
6.139830290000000135e-01,2.239455820000000041e-01,1.974128189999999894e-01,-4.197000000000000101e-04,9.108000000000000210e-04,2.145000000000000097e-04,3.112328273225872408e+02,3.052308865086901051e+02,3.063823813645720975e+02
6.139810220000000429e-01,2.239484589999999886e-01,1.974115830000000016e-01,7.169999999999999453e-05,4.949999999999999702e-05,9.029999999999999941e-05,3.112325520247575810e+02,3.052305685285601839e+02,3.063822801180511419e+02
6.139832680000000265e-01,2.239457470000000006e-01,1.974131199999999975e-01,2.946000000000000051e-04,-1.677000000000000105e-04,9.780000000000000553e-05,3.112325752719987690e+02,3.052305953799652798e+02,3.063822886681826958e+02
6.139820040000000256e-01,2.239479000000000053e-01,1.974119089999999965e-01,-1.925999999999999923e-04,-9.629999999999999617e-05,-5.720999999999999740e-04,3.112327126659511123e+02,3.052307540748707879e+02,3.063823391975604977e+02
6.139826259999999758e-01,2.239454260000000030e-01,1.974112130000000020e-01,3.311999999999999732e-04,-7.190999999999999693e-04,-2.846999999999999813e-04,3.112326364723401184e+02,3.052306660695487608e+02,3.063823111734518534e+02
6.139831079999999996e-01,2.239455029999999902e-01,1.974109599999999964e-01,1.023000000000000065e-04,9.005999999999999900e-04,7.986000000000000043e-04,3.112328506360481697e+02,3.052309134383037872e+02,3.063823899374230564e+02
6.139829669999999906e-01,2.239484280000000049e-01,1.974138749999999887e-01,3.000000000000000076e-05,-1.445999999999999911e-04,-1.860000000000000149e-05,3.112327918084276348e+02,3.052308454879532746e+02,3.063823683035500949e+02
6.139832079999999470e-01,2.239450209999999941e-01,1.974108980000000013e-01,-4.665000000000000093e-04,-1.665000000000000085e-04,-7.121999999999999642e-04,3.112328219350324616e+02,3.052308802855264389e+02,3.063823793836327241e+02
6.139814120000000042e-01,2.239478729999999917e-01,1.974115009999999892e-01,-4.581000000000000219e-04,2.939999999999999905e-04,-2.745000000000000044e-04,3.112326466523076078e+02,3.052306778289468525e+02,3.063823149177511596e+02
6.139816809999999458e-01,2.239460010000000056e-01,1.974099830000000111e-01,1.478999999999999900e-04,-6.932999999999999927e-04,-7.682999999999999725e-04,3.112324253361178990e+02,3.052304222000776690e+02,3.063822335217035970e+02
6.139819050000000500e-01,2.239455619999999869e-01,1.974089400000000050e-01,-2.442000000000000269e-04,-6.888000000000000459e-04,-1.739999999999999942e-05,3.112325530584144531e+02,3.052305697264744708e+02,3.063822804924726597e+02
