x,y,z,vx,vy,vz,Kx,Ky,Kz
6.124557130000000127e-01,1.864625050000000006e-01,1.915026609999999907e-01,6.120000000000000223e-04,-1.439399999999999968e-03,-4.842000000000000058e-04,3.000000000000000000e+02,3.000000000000000000e+02,3.000000000000000000e+02
6.124567330000000309e-01,1.864601059999999866e-01,1.915018539999999991e-01,-3.081000000000000080e-04,4.488000000000000127e-04,-7.613999999999999675e-04,3.084944517791769840e+02,3.022282142641911378e+02,3.057204829894775457e+02
6.124546859999999704e-01,1.864640009999999903e-01,1.915001229999999943e-01,-1.689000000000000126e-04,6.555000000000000496e-04,3.299999999999999982e-04,3.084946623681848905e+02,3.022284078398393490e+02,3.057204404068243093e+02
6.124561699999999664e-01,1.864622910000000022e-01,1.915029540000000030e-01,5.492999999999999619e-04,-1.617000000000000002e-04,9.053999999999999982e-04,3.084947763420902902e+02,3.022285125356759181e+02,3.057204172939559612e+02
6.124565170000000336e-01,1.864634619999999965e-01,1.915031409999999878e-01,3.095999999999999902e-04,3.143999999999999985e-04,6.788999999999999679e-04,3.084945802679782219e+02,3.022283322800371934e+02,3.057204569322316274e+02
6.124572019999999783e-01,1.864633390000000057e-01,1.915052170000000054e-01,-6.861000000000000345e-04,7.293000000000000003e-04,-4.797000000000000049e-04,3.084945325227337207e+02,3.022282883551739587e+02,3.057204665919484796e+02
6.124542299999999884e-01,1.864658929999999937e-01,1.915015419999999968e-01,-8.453999999999999493e-04,1.587000000000000086e-04,-1.323900000000000033e-03,3.084948105298002474e+02,3.022285438819740193e+02,3.057204103979381671e+02
6.124543839999999628e-01,1.864638680000000048e-01,1.915008039999999967e-01,3.972000000000000053e-04,-6.689999999999999983e-05,5.657999999999999835e-04,3.084950863040014042e+02,3.022287974010541802e+02,3.057203546119247903e+02
6.124555539999999576e-01,1.864656700000000000e-01,1.915034280000000033e-01,5.255999999999999821e-04,-1.629000000000000023e-04,7.776000000000000360e-04,3.084949645756630616e+02,3.022286854807420582e+02,3.057203791876711421e+02
6.124561360000000398e-01,1.864633250000000131e-01,1.915033959999999924e-01,-1.011000000000000044e-04,-9.921000000000000998e-04,-8.984999999999999931e-04,3.084947852855422070e+02,3.022285206596523039e+02,3.057204154387171684e+02
6.124552170000000517e-01,1.864623629999999921e-01,1.915004329999999977e-01,2.171999999999999940e-04,-3.938999999999999793e-04,4.023000000000000209e-04,3.084946977163356223e+02,3.022284402571124815e+02,3.057204331688805041e+02
6.124568599999999918e-01,1.864620120000000103e-01,1.915047370000000082e-01,1.608000000000000054e-04,-5.331000000000000018e-04,1.221000000000000134e-04,3.084945487683834244e+02,3.022283033710344853e+02,3.057204633462781658e+02
6.124557529999999916e-01,1.864605860000000115e-01,1.915008400000000055e-01,-4.145999999999999946e-04,1.277999999999999893e-04,-8.852999999999999975e-04,3.084944095824494070e+02,3.022281754678356265e+02,3.057204915274733708e+02
6.124554779999999976e-01,1.864624380000000081e-01,1.915017860000000072e-01,2.294999999999999948e-04,3.066000000000000257e-04,5.084999999999999460e-04,3.084945813830051975e+02,3.022283333920339032e+02,3.057204567345601163e+02
