x,y,z,vx,vy,vz,Kx,Ky,Kz
6.023377850000000144e-01,2.369248899999999991e-01,2.559001189999999815e-01,-3.455999999999999979e-04,1.956000000000000111e-04,1.781999999999999947e-04,3.000000000000000000e+02,3.000000000000000000e+02,3.000000000000000000e+02
6.023372089999999845e-01,2.369252159999999940e-01,2.559004160000000194e-01,-3.857999999999999993e-04,2.942999999999999978e-04,1.322999999999999903e-04,3.170933607050494629e+02,3.120901913631194020e+02,3.087012784667948608e+02
6.023364989999999697e-01,2.369258710000000101e-01,2.559005599999999991e-01,-1.514999999999999962e-04,-3.480000000000000020e-04,1.637999999999999970e-04,3.170933617105464464e+02,3.120901925493519684e+02,3.087012788715878742e+02
6.023367039999999450e-01,2.369240559999999940e-01,2.559009620000000096e-01,6.369000000000000312e-04,-9.336000000000000331e-04,2.606999999999999942e-04,3.170933629303531234e+02,3.120901939891132884e+02,3.087012793617683428e+02
6.023386219999999902e-01,2.369227590000000105e-01,2.559014290000000136e-01,6.030000000000000204e-05,-5.693999999999999626e-04,-2.970000000000000092e-04,3.170933636654675638e+02,3.120901948604312111e+02,3.087012796525212366e+02
6.023369050000000335e-01,2.369221579999999938e-01,2.558999719999999756e-01,-7.697999999999999548e-04,9.882000000000000593e-04,-3.816000000000000056e-04,3.170933627057338526e+02,3.120901937252898506e+02,3.087012792698479871e+02
6.023360559999999531e-01,2.369260529999999976e-01,2.559001570000000170e-01,-2.811000000000000022e-04,7.127999999999999788e-04,-4.427999999999999753e-04,3.170933616345152473e+02,3.120901924558971814e+02,3.087012788457717534e+02
6.023359679999999994e-01,2.369245339999999922e-01,2.558984959999999753e-01,-1.145999999999999938e-04,-4.496999999999999804e-04,-3.279000000000000014e-04,3.170933596752408334e+02,3.120901901398638643e+02,3.087012780628540440e+02
6.023356739999999876e-01,2.369245540000000094e-01,2.558990640000000094e-01,4.319999999999999974e-05,1.625999999999999950e-04,2.195999999999999981e-04,3.170933587899612576e+02,3.120901890917184573e+02,3.087012777112274762e+02
6.023361120000000346e-01,2.369250760000000122e-01,2.558992279999999786e-01,-1.644000000000000116e-04,1.928999999999999996e-04,-4.443000000000000118e-04,3.170933595424646683e+02,3.120901899817657750e+02,3.087012780112577275e+02
6.023351260000000540e-01,2.369251970000000040e-01,2.558975829999999840e-01,1.533000000000000129e-04,-1.670999999999999959e-04,3.002999999999999810e-04,3.170933577635883012e+02,3.120901878786048655e+02,3.087012773009031434e+02
6.023366230000000154e-01,2.369245190000000001e-01,2.559002289999999791e-01,2.745000000000000044e-04,1.707000000000000021e-04,9.768000000000001074e-04,3.170933589213065034e+02,3.120901892476146031e+02,3.087012777629028619e+02
6.023360410000000442e-01,2.369257660000000099e-01,2.559008389999999911e-01,-1.259999999999999998e-04,-8.184000000000000519e-04,-1.063200000000000039e-03,3.170933625381086358e+02,3.120901935245985896e+02,3.087012792061101436e+02
6.023362030000000145e-01,2.369217909999999927e-01,2.558966850000000126e-01,5.724000000000000355e-04,-1.292399999999999972e-03,-4.650000000000000270e-04,3.170933587767851236e+02,3.120901890764138216e+02,3.087012777056165191e+02
