time,Fx,Fy,Fz,Tx,Ty,Tz
1.763057404188200712e+09,-2.197885357667065109e-01,4.264557261400590132e-02,-1.421461996581293352e+00,-4.598456601591850434e-01,6.978793150137597989e-02,1.456804493200040684e-01
1.763057404190157413e+09,-2.138771619267047785e-01,4.124427895764631868e-02,-1.415127054625648029e+00,-4.603360614362591585e-01,6.917718937259570433e-02,1.458314745081404351e-01
1.763057404192153215e+09,-2.081808256039798521e-01,3.761076738908505912e-02,-1.410428874959832379e+00,-4.612328210365401193e-01,6.853441956972694538e-02,1.460466846095784255e-01
1.763057404198158741e+09,-2.051214577858969934e-01,1.396268990399536503e-02,-1.433992945365533123e+00,-4.667367484645466580e-01,6.718955417909799888e-02,1.462465668814511011e-01
1.763057404202151775e+09,-1.872713622851143456e-01,6.247763926552150904e-03,-1.443342927712340851e+00,-4.675430887645699585e-01,6.428242535670157520e-02,1.453674390700008812e-01
1.763057404208135843e+09,-1.115936838482673304e-01,5.667515062995716335e-02,-1.247436023603470057e+00,-4.515562277266939595e-01,5.487804560828683093e-02,1.424507074940284945e-01
1.763057404212123871e+09,-7.967512661772929716e-02,1.190534686833107092e-01,-1.253403690889089983e+00,-4.411525707402664809e-01,4.789925661240293508e-02,1.419011255721004672e-01
1.763057404214155197e+09,-8.480466203960085325e-02,9.576035666037570337e-02,-1.213968932918655819e+00,-4.449683184182239293e-01,4.916392994969671221e-02,1.423883948370500141e-01
1.763057404219122410e+09,-9.711475048722731374e-02,6.541558628989319057e-02,-1.164225247975678279e+00,-4.528224977041588883e-01,5.167468605113430952e-02,1.448589758228942259e-01
1.763057404222127438e+09,-8.403357631789730442e-02,8.215494448212681822e-02,-1.091524177356751002e+00,-4.500854280855277612e-01,5.100815365016391628e-02,1.457813424540228275e-01
1.763057404226125002e+09,-7.872356963678053821e-02,5.699324954130303295e-02,-1.088707177196200471e+00,-4.566791324900786320e-01,4.996528001111912726e-02,1.486500757985899090e-01
1.763057404229130983e+09,-1.367567034191456421e-01,1.641415395214353493e-02,-1.206591583564399883e+00,-4.701677563783864811e-01,5.661244165688841118e-02,1.528027349329976747e-01
1.763057404233125210e+09,-2.356706478390929727e-01,-4.946144593058041453e-03,-1.262439994457901005e+00,-4.814563115752976685e-01,7.178156042777421308e-02,1.584153693146205522e-01
1.763057404239137888e+09,-3.553001772082218235e-01,-4.117535767140396638e-03,-1.239979865425111960e+00,-4.897406137533908410e-01,9.182078446025988827e-02,1.665232993237730497e-01
1.763057404241152287e+09,-3.614647289387815099e-01,-3.020148010195881222e-02,-1.309487554904198436e+00,-4.978333920433471449e-01,9.024790669389672060e-02,1.697686292809056641e-01
1.763057404245207310e+09,-3.020609666663860438e-01,-2.631604080223708467e-02,-1.359653960261756334e+00,-4.979391665541608170e-01,7.824949638019325360e-02,1.742267875838170721e-01
1.763057404248163462e+09,-3.067123719385233538e-01,-3.517261665803596976e-02,-1.385632587603721655e+00,-4.990441926320807187e-01,7.710630531854610614e-02,1.775988993812735450e-01
1.763057404253162861e+09,-5.613469062431060141e-01,-1.091327504959220124e-01,-1.605157951480274292e+00,-5.231907261841396428e-01,1.102779248378391724e-01,1.872954612573103361e-01
1.763057404256174803e+09,-6.890753778096894155e-01,-1.094931213821263988e-01,-1.806110378276360562e+00,-5.343415046442272498e-01,1.233460077354449486e-01,1.936600907849218289e-01
1.763057404261199474e+09,-7.027893019938085128e-01,-1.500141473500114231e-01,-1.885795713674018437e+00,-5.513239081111841466e-01,1.189021608146364484e-01,2.019973300945107908e-01
1.763057404264171362e+09,-6.674785000363483434e-01,-1.064393759788022226e-01,-1.993473674461758272e+00,-5.517330134836981870e-01,1.089144001859867622e-01,2.067928818563839199e-01
1.763057404267157793e+09,-6.651154961605105775e-01,1.673171569601509048e-02,-1.997992331305390223e+00,-5.363286944834200209e-01,1.084812002562312028e-01,2.105796011905673448e-01
1.763057404272203207e+09,-7.624020963110121896e-01,1.672818081270597834e-01,-1.961101800512086379e+00,-5.171472109084874758e-01,1.242873558007921847e-01,2.169939473560378029e-01
1.763057404275155783e+09,-8.270275539208986615e-01,2.057508906918732727e-01,-1.922899036276743301e+00,-5.127055157462810930e-01,1.344405309173154761e-01,2.210854726515882884e-01
1.763057404280135393e+09,-1.085577459936012179e+00,1.901621746251385692e-01,-2.119003164386781712e+00,-5.311091345213980741e-01,1.704272454067198017e-01,2.323117653053786147e-01
1.763057404283135176e+09,-1.160438580300383604e+00,1.820588235632687457e-01,-2.133441399179691000e+00,-5.354113131522838520e-01,1.810572750498219974e-01,2.379242375852906044e-01
1.763057404286170006e+09,-1.249077765811940299e+00,2.087847632316123803e-01,-2.168762073137873614e+00,-5.329165748068853681e-01,1.940423513382187881e-01,2.431550496407980100e-01
1.763057404291174650e+09,-1.374624200910413485e+00,2.225370110311814531e-01,-2.294537450406010315e+00,-5.342394234193754698e-01,2.089607571294102850e-01,2.520789013609236462e-01
1.763057404294155121e+09,-1.430267460575998850e+00,2.120199215585392150e-01,-2.247217537283423106e+00,-5.363549543678788334e-01,2.183333233097289328e-01,2.572654892404099281e-01
1.763057404297157049e+09,-1.476085929975222255e+00,1.915206263256122865e-01,-2.218725392728218893e+00,-5.430216102537380740e-01,2.275449328022086659e-01,2.634593959559294873e-01
1.763057404303162575e+09,-1.739373660333109362e+00,2.031117304775137966e-01,-2.599729452955048092e+00,-5.639540775207463330e-01,2.641021332696266155e-01,2.806319639005461219e-01
1.763057404306470633e+09,-1.884268965762973869e+00,2.578317354223146340e-01,-2.720744976546973781e+00,-5.627708851427836168e-01,2.866229548425953677e-01,2.864047518947435700e-01
1.763057404309231758e+09,-2.171403571602133820e+00,3.092162519233318529e-01,-2.922129888520453633e+00,-5.705868147892138031e-01,3.319864334038302722e-01,2.983594530325384131e-01
1.763057404313179255e+09,-2.336887781357232630e+00,3.148755302137049017e-01,-3.049362379849918980e+00,-5.833328634100790611e-01,3.573995338786815079e-01,3.099154516157892614e-01
1.763057404318138838e+09,-2.456249660685678293e+00,2.544641909041885919e-01,-3.161705364162198162e+00,-6.055094727020229328e-01,3.760362453377718572e-01,3.247307037957402609e-01
1.763057404322145224e+09,-2.487351969225670700e+00,2.431668191324491135e-01,-3.043008418365620305e+00,-6.087459973124729196e-01,3.874431284873901538e-01,3.349082802042553375e-01
1.763057404325142145e+09,-2.525096056449255943e+00,2.334265080757394195e-01,-2.896801804563801319e+00,-6.065937512184039759e-01,3.988292915526900906e-01,3.415311911491739072e-01
1.763057404328129530e+09,-2.634862385090394277e+00,2.540232462828336257e-01,-2.920439642324413665e+00,-6.035134340911652018e-01,4.173855238207525575e-01,3.486750343769778882e-01
1.763057404332148314e+09,-2.756057490633399887e+00,3.423171674106396112e-01,-2.905972202990571684e+00,-5.885849414325137197e-01,4.376861467485702595e-01,3.574079616192927245e-01
1.763057404337150097e+09,-2.858869126032037133e+00,3.313624039029213764e-01,-2.670866344433804329e+00,-5.879960443593752473e-01,4.608507244444116635e-01,3.688301303086230498e-01
1.763057404341191292e+09,-2.907150990720079431e+00,4.735821938081425930e-01,-2.476563002790392876e+00,-5.583326464384046339e-01,4.760582616165966452e-01,3.750381936522672044e-01
1.763057404344149351e+09,-3.019909263244892728e+00,5.753844283636941892e-01,-2.684523371324271324e+00,-5.469803838721916112e-01,4.905860330724408636e-01,3.816133874189452935e-01
1.763057404348138332e+09,-3.087024078288436169e+00,6.318422452410568102e-01,-2.739809978125543388e+00,-5.361561729356849604e-01,4.992841745892184213e-01,3.878127871077818312e-01
1.763057404349141121e+09,-3.088765031296484942e+00,6.571324579385877662e-01,-2.681977045438824536e+00,-5.287873886978171623e-01,5.007578289306933161e-01,3.884150879575231086e-01
1.763057404355146170e+09,-3.158959542801722087e+00,5.446997852289541253e-01,-2.301294220209122887e+00,-5.317389318604682780e-01,5.191552377323226386e-01,3.944822011995151589e-01
1.763057404358148575e+09,-3.108099738205586160e+00,5.079046585255577728e-01,-1.955228724483900393e+00,-5.261353281914392666e-01,5.178003589918186433e-01,3.962846790298886757e-01
